,txt
2211,ㄹㅇ 인생을 다시한번 뒤돌아보게 하는 영화 꼭보셈 
2212,삶의목적 의 교훈을 되새김 할수 있었던 무비 
2213,억지로 얽어 놓는다고 감동이 생기는건 아니다 
2214,후반부가 가슴에 와닿았던 영화였어요최고글고 22 귀여웠다는 ㅋㅋ 
2215,다중인격자 연기는 연기하다가 정신병 걸릴듯 
2216,첨엔 원작을 잘 살렸다 싶었는데 결말이 좀 그래요 한지민 아니었으면 그것도 못 했을 듯 
2217,테리의 명연기가 빛나는 걸작 
2218,너무 지루하고 신파 영화관에서 봤으면 돈 아까울뻔 
2219,인생에 대해서 잘본거같음 마지막에 엔딩크레딧도 있는데 꼭보시기를 바래여 
2220,생각없이 보다가 울었음 임시완 믿고보는 영화 
2221,전종서 배우밖에 안보여요전종서 짱 
2222,소재가 굉장히 신선했는데 중반에서 결말로 가는 과정이 후다닥 끝난 느낌이었습니다 아니 이렇게 갑자기라는 생각이 들어 많이 아쉬운 작품 인사이드 아웃에 비해 완결도가 너무 부족했던 영화 
2223,아 진짜 너무웃김ㅋㅋㅋ 봐도봐도 재밌음ㅋㅋㅋ 
2224,내 삶의 목적은 삶 그 자체 
2225,에니메이션 중에 제일 재밌게 봄 인형놀이했던 시절도 떠오르고 쇼우와 아리에티가 함께 살았으면 얼마나 더 좋았을까 
2226,큰 깨달음을 얻었어요 가장 중요한 것을 다시금 깨닫게 해주네요 
2227,삶을 어떻게 꾸려감이 현명한지 주안에서 묵상이 가능한 영화다실패의 기억으로 과거를 바꾸고자 하는 의지가 많이 발동된 여주인공을 볼 때 과거에서 자유를 누리는 하나님 은혜가 모두에게 필요함 
2228,내 삶을 다시 돌아보는계기가 됨아무의미 없는 삶이 없다는걸 느낌다저마다사연있다는걸 
2229,의미없는건 아무것도 없다 
2230,처음엔 약간 지루하다고 느낄 수 있지만 중반부부터 눈물이 멈추질 않는 영화 삶은 목적의 수단이 아니라 삶 자체를 즐기면 된다는 교훈까지 완벽했다 꿈이 명확했던 나에게는 약간의 반전이었다 주인공의 인생이 나와 너무 닮아있어서 더 눈물이 났다 
2231,진정한 어른들을 위한 애니메이션 
2232,이런 좋은 영화는 평점을 아끼지 말아야지 
2233,오늘 아침 눈 뜨는 그 순간부터 영화가 시작 됐었구나 
2234,초반부는 그냥 그랬는데 뒤로 갈수록 재밌음 
2235,안녕하세요 공포영화 매니압니다 공포영화를 보는게 목적이신분들은 절대로 보지마십시오 돈을 땅바닥에 버리는꼴입니다 
2236,세상 모든 사람들에게 삶 그 자체의 소중함을 
2237,롤러코스터 같은 삶이지만 그래도 가족 안에 화목함이 있다는 사실이 가슴을 따뜻하게 합니다 이러나 저러나 의지할 곳은 가족인가 봅니다 시대를 그리기도 지극히 개인적인 이야기로 가족을 그리기도 하는 영화에요 여러 부분에서 생각할 점이 많은 작품인듯 합니다 
2238,인생이 내 마음대로 되지 않는다 해서 괴로워하지 말라 당신은 당신 그 자체로 충분히 잘하고 있다 
