,txt
100,감성이 풍부한 배우 향기 영주의 삶을 있는 그대로 표현해 준 거 같다 
101,누구나 첫 출발은 대단한 포부를 가지고 시작하지그 끝이 내로남불식 설교엔딩에 신파극일 줄 누가알았겠어 빌어먹을 닌자랑 건담은 왜 튀어나와 
102,인생의 목적에 다시 생각할수있는 시간이었어요 ㅎ 
103,단 한가지도 모자란게 없는 영화입니다보는 내내 먹먹하게눈물이 나게 하는 영화입니다널리알려지게하고픈 영화감사합니다 
104,영상미가 정말 최고 처음 시작 몇 분은 놀라운 영상미에 푹 빠졌다 중간 다소 지루한 느낌은 있지만 음악과 영상만으로도 볼만한 영화 
105,애니매이션인데 수준이 높은 고퀄리티영화입니다6살 손녀랑 함께 봤는데순식간에 시간이 지나가 버렸습니다스토리도 의미가 있고 뛰어난 영상미는흥미를 더합니다가족애가 느껴지는참 좋은 영화를 강력 추천합니다 
106,여자 주인공 사이다 여캐들의 하드캐리 영화에 어울리지 않는 진지한 대사가 오글거림 
107,우리의 삶을 유지하는 열정의 불꽃을 태우는 것도 중요하지만 그 보다 먼저 인 건 아름다운 우리의 영혼이다 조가드너와 22호가 지구로 돌아 오는 장면에서는 삶에 대한 벅차오르는 감동과 눈물을 흘렸다 스크롤이 다 올라 갈 때까지 좌석에서 일어나지 못했다 
108,무섭지가안아요 놀라는 부분도 그닥 업고요 
109,진짜 교훈을 주는 영화인거같아요 근데 아이들은 좀 지루해할수도 있어요 그냥 인생이 지루하고 사는 의미가 없는분들은 보면 위로가 될수있어요 
110,항상 곁에 있지만 몰랐던 걸 깨닫게 해주는 수업 같은 영화 
112,인생영화에요 ㅠㅠ 코로나로 힘들었는데 위로받고가요 
113,처음부터 끝까지 눈을 뗄 수 없게 만드는 영화 
114,그 누구도 무의미한 인생은 없다 
115,스토리도 탄탄하고 순간순간 놓치고 싶은 구간없이 집중하게되는 영화네요 애니와 현실이 왔다갔다하는거라 색안경끼고 유치할거라 생각했는데 전혀 유치하지않고 몰입도가 정말 좋네요 감동도 전달되는 역시 스티븐 스필버그감독이라 생각되요 암든 영화 정말 재밌게 잘 봤어요 
116,배우들의 연기는 뛰어났지만 스토리와 연출 모두 말도 안되고 유치해서 혀를 내둘렀다ost도 정말  유치했다 영화 너무 지루해요 ㅜㅜㅜㅜ 
117,사는것에 대한 생각을 다시 해보게 됨 
118,그때는 그럭저럭 쏘쏘한 영화였는데지금보니 개명작 
119,중간중간 조연들의 연기가 재밌고 찰지다 
120,위선적인 좌파들을 시원하게까버리는 명작 
121,물론 남주가 나빴다는 건 사실이지만뒤늦게라도 반성하고 여주와 잘되는 모습을 보니까그래도 자신의 과거를 반성하며 뉘우치고 사는사람이 얼마나 있을까 한번은 생각하게 됩니다누구나 남주처럼 가해자 일수가 있다고 생각합니다문제는 그것을 반성하느냐 그대로 사느냐 그것은 오로지 본인의 선택에 달린 것이죠 
122,나는강해 나는 꺽이지 않아 i am woman큰 메아리가 되어 가슴속에 맺힌다올해들어 최고의 영화다꼭 봤으면 좋겠다 
123,삶의 의미와 목적만을 추구하다가 정작 자신의 행복을 놓치며 살아가는 현대인들을 위한 영화 
124,해리포터 시리즈중 가장 비참한 내용이었음 그리고 시리우스 죽는거 개 허무함 
125,너무 잼났어요 오랜만에본 병맛개그 차인표씨 팬됐어요 ㅋㅋㅋ 
126,띵작입니다 굳 두번보세요 
127,대단원의 막이지만 캐릭터의 마무리가 조금 뭔가 아쉬운 마지막 일대다 대결이 볼만하다 다음 편도 기대해본다 
129,말이 필요없다 그냥 보자 
130,세상에 수많은 투엔티투22를 위해 
131,조선의 마음 이쁘다 
132,정말 좋았습니다 요즘 같은 상황에서 더 와닿을 영화같네요 영화보고 나와 너무 행복했습니다 
133,공황장애 나아지시길 
134,유아인 진짜 연기 소오름넘 잘함 
135,우리딸아이가너무좋아하네요즐거운시간이였어요 
136,이것이인생이다 
137,아 미선이 누나 왜왜왜 ㅠㅠ 
138,나의 인생을 되돌아보게 해준 영화 
139,영상미가 이뻐서 좋ㅇㅏ씁니당 
140,일상의 소중함을 일깨우는 영화입니다 
141,마지막에 정우성이 통일할거냐고 물어보고 끝내면 멋있을 줄 알음 절대 통일 못한다 하기도 싫고 
142,정말 효율적 아이디어와 예산으로 탄탄한 스토리 텔링 그렇다고 비주얼이 부족하지도 않음 
143,와 스토리와 상상력 연출 반전도 대박이고연기도 대박 탐크루즈가 당신은 묵비권이 할 때 눈물 소름ㅠㅠ모든걸 갖춘 영화다 
144,요즘 시대에 길을 잃은 청소년에게 정말 의미있는 영화에요 
145,재미있네요 단지 주인공인 22가 더러운 짱께로 태어란게 짜증날뿐 
146,그냥 좋다 이 영화는 ㅎㅎ 
147,진짜 이 영화를 봐서 너무 행복합니다 
149,그 안에는 사람이 있다 
150,역시 픽사 생각을 하게 만드는 영화임마지막 쿠키 영상도 꼭 꼭 보세요 ㅎㅎ 
151,자폐아들을 둔 부모로서 발달장애에 대한 사회적 인식 개선 및 개인 책임이 아닌 공동체의 책임에 대한 인식을 제고하는 데 큰 기여를 한 영화라고 생각합니다 보는 내내 코끝이 찐하게 시려와 참느라 정말 혼났습니다 간만에 찐 감동 영화를 감상해서 정말 좋았고 감사합니다 
152,그져 야한 영화라고 생각하고 한번도 안 보다가 이번에 봤는데… 웃음 빵빵 터짐 
153,꿀잼이요막 완전 빵 터지는 웃긴 건 없는데 재밌어요내용이 재밌어요 
154,원더우먼이 너무 판타지로 가서 망한 스토리 
155,처음부터 끝까지 잔잔한 분위기인데 지루하지 않게 봤다 
156,지금 행복할 줄 아는 사람이 인생을 살 준비가 된것 
157,겁나 재밌어서 보다가 눈 돌아감 
158,당신의 삶이 무미건조하고 목적이 없다고 생각하면 한번 봐보세요 무심코 봤다가 크게 혼나고 갑니다 
159,오랜만에 재밌는 영화 봤습니다 
160,잘봄 아주 매우 감동있게 
161,반전에 반전어찌보면 예상되는 결론인데연출이 좋았고 연기력도 좋아서끝까지 재밌게 봤다 
163,그래 나 잘 살고 있구나 
164,탑 연기 진짜 잘함 탑 밖에 안 보임 
165,쿠키 본다고 몇분 앉아있었는데 너무 짧아서 어이 없으면서 웃겼습니다ㅋㅋ 재밌었어요 
166,가부장과 그걸 빼닮은 젊은 가부장 문화가 너무 리얼해서 체할뻔했으나 두눈 치켜뜨고 끝까지 봤습니다 영화 만들어주셔서 감사해요 
168,군국주의 전범 을 제외하고 보고 말하자면 솔직히 별로다 성우 사운드 진짜 이상하다 주인공은 너무 딱딱하고 단순 일편적이라 공감과 이해를 못해 몰입감은 떨어지고 그때문에 힐링물이라고 보기도 너무 어렵다 
169,내용 너무 좋네요아이들과 재밌게봤어요 
170,날짜잘못봐서 못봤네요돈만 날림 ㅠㅠ 
171,무었을 상상하든 그 이상을 보여줍니다 저도 나름 자신있는 항마력의 소유자라고 생각했으나 저도 인간이었나 봅니다 30분의 마의벽을 깨지 못하고 꺼버리고 말았습니다 이 영화를 끝까지 보신분들에게 존경과 위로를 보냅니다 
173,겉으로 크고 특별하고 화려해보이는 목적을 갖는게 첫번째로 중요한것이 아니라 먼저 일상적이게 생각했던 것들 당연하게 여겨졌던 것들 그리고 작은것에도 감사함과 소중함을 느끼며 삶을 열정을 가지고 즐겁고 행복하게 살아가야한다는 메세지를 주는 감동적인 영화였습니다 
174,먹먹하지만 내 등을 토닥토닥해주는 영화 여운이 오래 남는다 참 좋다 
176,요즘같은 시대에 꼭 필요한 영화입니다 눈물부터나는 갓픽사영화 꼭 목적이 필요한 삶이 아닌 나부터가 즐겨야하는 삶 너무잘봤습니다 
177,진짜 재밌음 탑 외모 ㄷㄷ  
178,목표만을 보고 내일을 사는게 아니라 바로 지금 이 순간을 살자 
179,감동적이다 진실을 외면하는 요즘세대가 꼭 필요한 주제다 진실이면 충분하고 진실은 아름답다 편벅이 파치는 요즘 반성하게 하는 훌륭한 주제다 
181,최근본 애니메이션중 최고 
182,유쾌하게볼 영화인듯ㅋㅋㅋㅋ난 재밌었음 배우들만의 각각의 매력이 있어서 좋았음ㅋㅋㅋ 
183,주변과 삶을 둘러보게 하는 감동이 있네요 
184,역시 픽사만의 코끝 찡해지는 감동이 있는 영화였습니다 전달하는 메시지가 넘 좋아요 
185,역시 디즈니코로나때문에 볼게 없었는데 개봉하줘서 고마워요하그나저나 빨리 이 썅 코로나가 없어져야할텐데 ㅜ 
186,성룡이 형도 이제 막 찍는구나 
189,현대인의 치열하고 고통스러운 사회생활을 여과없이 보여주는 수작 출연한 대배우들의 눈부신 연기때문에 더더욱 가치있는 영화 
192,이게 영화지 크 진짜 보면서 눈물 흘린 영화는 이거밖에 없는거같다 
193,인생을 어떻게 살아야 하는지 생각하게 해 줌 난 쿠키영상 안 봤지만 영화는 다 봤다구 
195,코로나로 인해 삶의 목적을 잃었다고 생각하는 사람들에게 지금은 목적을 잃은 게 아니라 삶을 우리가 어떻게 즐겼었는지를 잊었을 뿐이라고 말해준다 
196,내가 매일 출퇴근하며 만원지하철 안에서 내 인생은 무의미해 했었는데 이제 내 인생의한 순간 순간을 허투루 생각하지말고 즐거움을 더 느껴야겠다 무엇이 되지않아도 무슨 목적을 가지지 않아도 삶을 사는 것 자체가 행복함을 
197,떨어지는 개연성 당황스러운 편집 이상한 대본충분히 좋은 메세지를 전달할 수 있었지만 위 세가지 때문에 아쉬운 영화주연배우들이 그나마 하드캐리했다고 생각했다고해요 
199,삶의 불꽃은 목표가 아닌 삶 그자체다 
200,첫사랑이 생각난다ㅜㅜ 히로코ㅜㅜ 
201,보면서 얼마나 눈물 흘리며 감동 먹었는지 강력 추천합니다 꼭 보세요 두번 보세요 세번 보세요 
202,집에서 공짜로 봤는데도 시간이 아까운 영화 
203,타란티노 영화 중에 제일 좋다캐릭터들이 하나하나 개성있게 살아있다 인생영화 중에 하나 마지막 그 통쾌함이란 크 
204,정말 딱 가족 힐링 드라마네요 억즙이라고 하시는 분들이 많은데 전 혼자 완전 펑펑 울면서 봤네요 나오시는 배우분들이 전체적으로 다들 연기를 되게 잘 하셔서 더 좋았던 것 같아요 근데 스토리가 이어지는게 뭔가 부족한 느낌이 드네요 그래도 가족들과 함께 보기에 좋은 영화인 것 같아요 
205,이 영화는 진짜 2021년에도 생각나는 여운이 남는 영화현실적이지만 엄마도 로맨틱한 시절이 있었다는걸 다시한번 일깨워주는 그런영화 한번 봐보세요 후회안해요 
206,지치고 목표를 잃어가던 나에게 그 자체로 살아가라 속삭여준 위안 
207,정말 감동적인 스토리에만족합니다 
208,시대를 뛰어넘는 명작이다 
209,잔잔하게 삶에 대해 내가 인생을 받아들이는 태도에 대해 생각하고 돌아보게 하는 영화에요 어른들을 위한 애니메이션이네요 저도 살아갈 마음 준비가 되어서 제 인생이 시작했겠죠 힘주어서 잘 살아야하는 게 아니라 그저 행복하게 살면 괜찮다고 위로받는 느낌이에요 
210,처음에 평점에 한번 보면 마지막에 울고 두번 보면 처음부터 운다는 말이 이해가 안 갔는데 영화 다 보고나서야 무슨 말인지 절실하게 이해가 간다 처음엔 지루한가 싶었지만 뒤로 갈 수록 정말 감동적이고 말로 표현 할 수가 없다 정말 여운 남는 영화다 일본 감성도 좋고 배경 영상 모든게 완벽하다 타이타닉 이후로 두번째 인생 영화다 
211,남편과 낯선 도시에서 갑자기 시간이 비어 보게 된 영화 토요일인데도 불구하고 사람이 들어오지 않아 둘이서 넓은 영화관을 독차지하고 좋은 노래와 스토리에 흠뻑 빠져 감상했어요의미있는 가사와 주옥같은 목소리에 보고나서도 잔잔하게 여운을 주는 영화 딸과 엄마가 여자친구와 계모임 친구들과 함께 봐도 좋을 영화입니다 
212,터미네이터2는 내 인생영화중 하나다그런데 2편 이후에 나오는 터미네이터 시리즈는 매번 나올때마다 2편이 너무 넘사벽 초대작이라 꾸준히 욕을 먹고있는 중이다하지만 나는 터미네이터 시리즈를 좋아한다미래전쟁의 시작과 제네시스 이번 다크페이트도 흥미롭고 재미있게봤다 세편 모두 속편이 나오길 바랬다하지만 또업어지고ㅋ터미네이터 세계관은 매력적이고 또다시 터미네이터가 보고싶다언젠간 또 만들어 질것이다ㅎ그라고 애니메이션으로 미래전쟁 제네시즈 다크페이트 후속편들을 만들어줬으면 좋겠다ㅠㅠ 
213,재밋게봣습니다 어른들이봐도 좋네요 
214,최고의 영화 중 하나 감동 재미 모두 갖춘 영화 
215,캐릭터가 너무 귀엽구 스토리도 탄탄해요 
216,23년전 영화라는 거에 감탄할 따름입니다 
217,잘 만든 영화 코로나 아니었으면 좀 더 흥행에 성공했을듯 
218,조가 조금 이기적인 것처럼 보였고 22는 심술부리는 것 처럼 보이지만 사실은 자신의 마음을 숨기는 것 같다그리고 마지막에 조를 살려준 제리들이 너무 좋았고인생을 다시 돌아보는 것 같기도 했다아무리 노력해도 안되는건 없는 것 같다라는 생각이 들었다 
220,길잃은 영혼으로 살고 있던 내가영화관 밖으로 나올때새로운 영혼으로 다시 태어난 기분 
221,기대가 컸던 것 같습니다 지루한 감이 있어 러닝타임이 길게 느껴졌습니다 
222,오열 그 자체 왜 사는가 라는 철학적 질문을 던져주는 작품 명작이다 
223,가볍고 신나게 웃으면서 즐길수 있는 영화 보고나면 제주도 여행가고싶다 
224,역시 믿고 보는 픽사디즈니 돈아깝지 않은 영화 
225,닐하고 인사나눌때 짠하네 ㅠㅠ 
226,이제껏 본 영화중에 손에 꼽는 잊지 못할 영화입니다 감독의 능력에 찬사를 보냅니다 
227,왜 이런 영화를 수입 배급 할까프로파간다가 아니라면서억지 감동과 위대한 중국 
228,미리 연습한다고 무뎌지는 이별이 있을까 
229,조가 호두파이를 먹을 때 자전거를 타며 하늘을 바라볼 때 아버지와 lp를 들을 때 그 모든 순간들은 그가 그토록 꿈꾸던 재즈음악을 연주할 때만큼재즈스러웠다 
231,반전이 없다해도 명작임 
232,두번이고 세번이고 보며 나의 인생의 추를 찾고 싶은 영화 삶은 살아가는 것에 가장 큰 의미가 있는 것 
233,배우 좋아봐야 아무 소용없다 
234,고등학교다닐때 난 딥임팩트를 보고 나중에 아마겟돈 봤는데 딥임팩트기 2배의 감동과 재미가 있음 완전 명작 
235,재밌었습니다평점이 낮은편이라 전작에 비해 별로일까 싶었지만 절대 그렇지 않았어요 
236,죽기전에 꼭 봐야할 sf 명작 
237,이언이 켈리를 만나지 못하면 온세상은 무채색으로 변해 
238,이탈리아 북부 관광청에서 상줘야 함 
240,인생 노 잼이라는 딸과 함께지금이 중요하고 너무 과한 목표 만을 위해 살지 말자고ㅎ이렇게 건강하게 태어나 사는것도 축복인것을 
241,감정이 매말랐는지그렇게 큰 감동은 없었음마지막씬도 별 감흥이없고점수에 비해 너무 아쉬움이많이 남음 
242,사운드트랙과 피자 맛집 
243,와 벌써 23년 됐다니23년 전 영화인데도 손색이 없다니 
244,여자의 마음은 갈대와 같다 결국은 돈이 지배한다 ㅎ 
245,아주아주 재미있습니다 
246,중국 공산화 극도의 미화 
247,앞으로 무슨 직업으로 뭐하고살지 막막한 사람들에게 추천하고싶음 그런 점에서 저는 너무 재밌게 잘 봤어요 
248,개빡친다 별반개도 아깝다 
249,히어로물인데 그냥 드라마라고 생각하고 봐야한다 지루한 드라마식 스토리에 액션은 그닥이고 어설픈 감동 스토리를 억지로 집어넣은 느낌이다 실망이 크다 보다가 중간에 졸았다 킬링타임 영화로도 부족하다 
250,재밌었는데 내용을 미리알고 가면 안돼요 
251,넷플릭스에 잇길래 봣는데 10점짜리 영화 ㅋㅋ 평론가 미친놈들 점수 뭐지 거르셈 
252,이영화 장르 픽사임 
253,아이와감동적으로보았어요 
254,오달수님 연기너무잘해요 정우님 연기에 푹빠졌습니다 오랜만에 훈휴하고 감동적인 영화봤어요 
255,덴젤워싱턴은 진리다 3도 만들어 주세요 
256,친구랑 기대안하고 보러갔었는데 너무너무 재미있게 봤어요 
257,인사이드아웃 번외편 느낌 간단하지만 가볍지않은 인생의 조언을 느낄 수 있음 
258,실화사건에 덧입혀진 드라마들의 오글거리는 설정과 대사들 
259,낮은 평점 정도까지느아님 넘어가는 스토리마다 나름 재밋긴함 뜬금 없는것도 많긴하지만 기대치 가지고 보러가지말거 그냥 봐야지 하고봐야됨 
260,진짜어처구니없을정도로 재미없다 
261,순간을 소중히 삶을 다시 돌아보게 됩니다 
262,애니메이션의 미래가 밝다 
263,뒤에 어떻게 되는지 궁금해서 이렇게 본 건 처음ㅎ 몰입도 짱이고 두번보세요 
264,기대가 높아서일까김민정이 정말 이쁘게 나온다 
265,목표를 위해 달려가다가 정령 무엇을 놓치고 있는지를 깨닫게 해주는 영화하루하루 평범한 삶이 얼마나 행복한 것인지 알게해준다 
266,정말 서럽게 울었습니다 불꽃놀이 바다의 감촉 일요일아침의 햇살 사랑하는 사람들 고맙습니다 이런 영화를 만들어줘서 
268,심장 벌렁거리게 만드는 영화 겟아웃 이후 최고의 스릴을 선사 
269,평소에 지나치기 쉬운 감정과 소중함에 대해 다시 한 번 생각하게 해 줌 
270,연기자 연기만 좋고하고 스토리는 soso 별로 인 것 같아요 
271,가상 공간의 그림체가 너무 맘에 들었고 신비로웠고 우리가 삶에 대해서 목적만 이루려하고 주변의 소소한 행복을 돌아보지 않는 모습에 대해서 잘 담아낸 거 같아 내 자신을 돌아보게 하는 영화였다 
