,txt
0,재밌어요ㅜㅠㅠ대단히 박진감 넘치고 막 그런 건 아닌데 충분히 즐겁고 멋진 작품이고 가족이 다 볼 수 있어서 너무 좋았어요 계속 시리즈 보고싶어요ㅠㅠ 
1,코로나로 힘든와중에 마치 단비라도내리듯 좋은영화였음   인생에대해서 다시한번되돌아볼수있었고 무엇보다 픽사다운영화였다라고 말할수있음   
2,여러분들 힘들고 지치시죠꼭 보세요전 지금 이순간도 너무나 소중하고 행복합니다 
5,인생 애니메이션 이걸로 바뀌었다믿고보는 픽사 
6,하는일이 안된다고 본인 인생을 한탄하지 마세요굶어 죽지않고 이렇게 오감을 느끼며 사는 이 인생 자체가 행복한거에요 
7,재밎긴 한대 영 소토리가 
8,무난하고 적당하게 연출이 잘 되었다 
9,감동의 영화예요 저평가된 느낌 강추해요 
10,남주 너무 괜찮고 너무 슬픈데 좋다 
11,여운지리게남는다 평론가란 직업 없어져라 
12,살아가는 목적을 찾아 헤메는 것이 아닌삶 자체가 아름다운 것이었음을 
13,망작인줄 알았는데 생각보다 괜찮네 주진모는 여자하나 잘못만나서 ㅉㅉ 
14,절제된 감정 아름다운 풍광 사랑에 대한 의미 콜드마운틴 어톤먼트와 함께 참으로 슬프고도 아름다운 영화 
15,재미있고 흥미진진했어요 
16,제가 이 영화를 처음에봤을땐 어려서 눈물을 흘리지 않았지만 생각나서 다시보니 눈물이 끝없이 나오는 영화 
17,개연성은 없지만 뿌듯하게 바라보게 된다 
18,행복이란 작지만 정말 큰부분 
19,1편보다 재밌게 봄 트레버보단 하딘이 매력있지 
21,감동적입니다 ㅠㅠ 하루하루 소중히 
22,시크릿가든 보세요 
23,솔직히 이 영화 재미없다는 사람들은 그 시대를 살아보지 않았고 공감하지 못하기 때문에 저러지 않는거지 저 시대에 어려웠던 사람들이고 저 시대를 겪어본 사람들이라면 무조건 공감할 영화 
24,픽사 애니메이션 영화는 여전히 훌륭하구나 
25,쓰레기쓰레기쓰레기쓰 
26,너무 밋밋하다 감상의 포인트를 어디에 두어야 할 지 모르겠다 스토리를 봐야 하나 영상미를 봐야 하나 배우의 연기를 봐야 하나 숨막히는 추격전을 봐야 하나 쫓고 쫓기는 스릴을 봐야 하나 총성이 난무하는 액션을 봐야 하나 어디에 관점을 두어야 할 지 모르겠다 정말 그저 그렇고 그런 영화다 두 주인공의 각자 감정 연기도 별로 없고 두 주인공의 갈등과 화해의 감정이 교류되는 것도 별로 없고 하다 못해 불쌍한 어린 소녀를 애틋하게 생각하는 중년 킬러의 감동적인 희생 이런 것도 없고 영화는 있는데 너무나도 없는 영화다 엘르 패닝 좋아하는데 젠장 
27,눈물 펑펑  ㅠㅠ 사는 자체로 아름다운 평범한 나날들 
28,생각해볼 여지를 많이 남겨주는 영화를 보고왔네요 
32,사회의 시선에 쫓겨 잊고있던 진정한 삶의 의미를 찾아서 
33,오랜만에 좋은 영화 좋아융 냐옹 먀옴 냐나옹 
34,복잡하고 심란한 주제를 무심한듯 눈앞에 펼쳐보이는 픽사의 재능에 또 한번 감탄 
35,그럭저럭 성룡영화잖아 그냥 타임킬러용이면 됐지 
36,너무 잼있어요왠지 제가 사후체험하고 온 느낌이랄까ㅎㅎ남은시간 소중하게 생각하고 잘 써야겠어요 
37,처음과 끝까지 잔잔바리 
39,어수선함 집중해서 볼만한 포인트가 없고 산만함 
40,69년생 김춘덕 이게맞을듯 
43,영화가 영 허구는 아닌듯 눈치라는 문화 핑계되면서 사람의 순수한 마음을 이용하지 마세요 확실히 말하세요 무슨 현실로 돌아갈 시간이라느니  다른 사람 그림이나 도용하고 ㅈㅈ제 주변에도 유럽서 같이 공부하고 한국휴가가서 만나기로해서 온 스웨덴 친구들 있는데 약속했던 한국친구가 잠수탐 ㅋ진짜 이런 애들 있음 
44,매번 볼때마다 다른 감동 
45,오랫동안 누적된 우리 가정 내의 고질적 문제를 유쾌하게 잘 풀어낸 영화입니다 특히 배우들의 뛰어난 연기가 인상 깊었습니다 
46,최민식배우님 악역 소오름이병헌 배우님 감정선 절제미 최고였습니다 
47,짧디 짧은 농담에 담긴 긴 여운을 그대는 부디 놓치지말길 
48,이치코가 울때 괜히 나도 눈물이 난다 
49,큰 목적이 없어서 고민이었는데 사소한 목적들 하나들까지 제 삶의 이유란 걸 알게 됐어요 꼭 보시는 걸 추천드려요 소장하고 싶은 영화 
50,평점이 왜이리 낮지낮은 평점때문 안보려다 또 괜찮다하는어머 기대이상반전도 많고잘봤어요배우들 연기들도 좋고굿 
51,아아 조가 꿈에 그리던 무대에 서고 난 후 집에 와서 22가 가지고 있었던 물건들을 피아노 악보대에 두고 피아노칠때 그때 조가 깨달았던것들 그리고 22가 세상에 와서 느꼈던 살아있는것 자체의 그 소중함과 살아있는것에 대한 느낌 열정들이 너무나도 제 마음에 와 닿아서 조와 함께 눈물이 쉼없이 흘러내렸네요 영화끝나고난 이후에도요 오전에 봤는데 아침부터 눈 퉁퉁 부어서 나왔네요 아 너무 좋네요 이런 영화 
52,고양이와의 조합은 최고다진짜 
53,대니에게 몰입하고 보면 후련하고 상쾌한 영화 꽃과 파란 하늘 들판이 나오니 영상미는 말할 것도 없습니다 대니 연기도 좋고 보기 어려운 장면은 전혀 없었고 오히려 더 보여줬어도 되겠다 싶을 정도로 무난합니다 
54,그림도 동글동글해서 귀엽고 그림 표현도 너무 잘 되어 있어서 보는 재미도 있어요 하지만 지루한느낌도 있네요 
55,조진웅 보고 진심 개깜딱놀랜 1인 형이 왜 그 뒤에 서 있어 
56,그대로만 갖다 써도 충분히 감동적일 실화를 저열한 대사들로 망쳐놓은 감독의 수준 
57,여한이 없는 죽음死과 미련한 생生에 대한 아주 귀여운 고찰 
58,환경파괴에 저항하는 너구리들의 이야기로 봐도 충분히 잘만든 작품이지만 본 작품은 196070년대 일본 적군파 학생운동 조직인 전공투의 몰락을 우화의 형태를 빌어 표현한 작품입니다 작품에서 보여지는 모든 사건들은 그당시 전공투의 상황과 절묘하게 맞아떨어집니다 애초에 작품의 화자로 등장하는 너구리가 본 애니 감독의 오너캐 역할을 하고있는데 그는 애니계에 투신하기전 일본 학생운동의 몰락을 지켜본 마지막 운동권 세대였습니다 지브리 스튜디오의 작품들 중에서도 여러모로 씁쓸한 작품입니다 
59,재미도 감동도 없다 
60,많은 삶을 온전하게 이해하려 노력할수록 나의 세계는 더욱 단단해진다 
61,감독님의 상상력과 배우들의 열연이 대박이었고 음악을 잘 사용하는 듯 극의 몰입도를 높여주는 소리와 배우들의 연기는 정말 압도적이었다  이 감독님 팬이 될 거 같다  어스 보고 겟아웃도 찾아보게 만들었다 단순히 무서운 게 아닌 스토리에 무게감도 있고 괴이한 스토리를 감독만의 세계관으로 잘 풀어보여줬다고 생각한다 
62,총 1시간 40분짜리 영화인데 1시간 30분동안 전개는 엄청 느려서 답답해 돌아버리는 줄 알았다ㅋㅋㅋ그렇지만 마지막 10분은 진짜 반전근데 진짜 전개너무느림ㅜ 
63,카르페 디엠 현재 이 순간에 충실하라 
64,베를린 류승완 감독의 조감독이라 들었음 
65,대사 하나하나 집중해서 보는 재미가 있는 법정공방 영화 결말 예상은 했지만 장혁 연기에 넘어갈 뻔 했다 그리고 마지막 3초 그 대사에 전율이 
66,대학 1학년 때 봤는데 23년만에 봐도 감동적이다 나도 모르게 울컥 
67,극혐 보지마셈 돈만 낭비함ㅡㅡ 
68,온가족 함께 보기 좋은영화에요 
69,음악이 너무 좋아요 오프닝 영상 충격적으로 귀여움 
71,수명 2시간 낭비하는 방법으로 강추 
72,비슷한 클리셰의 한국영화를 먼저 봐서 엔딩의 뒷목 짜릿한 결말을 느끼진 못했지만 집중되는 스토리와 애드워드 노튼의 연기력 그리고 재미있는 법정공방 리차드기어의 섹시함 볼만한 가치가 있는 영화였다  난 유죄가 입증되기 전까진 무죄란 말을 믿어 인간이 선천적으로 선하단걸 믿으니까 대사가 기억에 남는다 
73,저만 피해자 될께요 ㅠ 개쓰 
74,근래에 나온 픽사 영화 중 가장 좋았습니다 
75,마이크로프트 이미지를 원작과 다르게 그린간 좀 글치만  전반적으로 재미나게 잘 만든 영화 전하고자 하는 메시지도 있고요 
76,따뜻하고 포근한 색채들로 채워진 영상미가 좋았어요 그리고 마지막에 의미가 좋았음 
77,살아보니 보이는 것들이 있네요 
78,언제나 즐기면서 살겠습니다 
79,이건 보지맙시다킬링타임으로도 아깝다 시간이 
80,나이70도 새로운 시작이 될 수 있다는 것을 깨닫게 해준 영화 감동 재미 다 선사한 영화 
81,너무 스릴있고 신선한 스토리 집중도 최고인 듯  저는 재밌게 봤습니다 
82,정말최고입니다 ㅠㅠ 
83,90년대에 이런 내용의 영화가 있었다니그 생각이 멋졌습니다 
84,하루하루 ooo데 이 영화보고 울컥했다 
85,보고있으면 행복해진다 
86,너무나 큰 울림을 주는 영화네요 
87,픽사는 이제 단순한 애니메이션이 아니다이건 하나의 예술이며 철학이다 
88,과거를 잊어서는 안된다언론이 똥꼬쇼해주는 정권정치인 다 이유가 있다 친일파 청산 못하고 차일피일 미루다 보니 다시 신 친일 세력이 대한민국을 좀먹는다 조선시대만 역사가 아니다 이게 바로 역사고 답습하지 말아야할 경계의 현실이다 
89,디즈니에서 만든 영화는 실망한적 없이 믿고 봤지만 지금까지 본 영화 중 가장 감동적이였으며 내 삶을 지금 그대로 사랑하고 매일매일을 소중하게 생각하며 사소한 것도 중요하지 않는게 없다라는걸 세삼 다시 한번 느끼게 해줍니다 딸과 함께 봤는데 서로 같은 감정을 느끼며 울었답니다 
90,정말 재미있게 봤어요 네이버 평점을 남겨보기는 처음입니다 다른 분들에게 많이 추천하고 싶어요 
91,애니메이션 보고 이렇게 감동을 느낀적이있나 애니메이션이지만 우리의삶의 가치관을 다시한번 되짚어주게 만드는것같다 재미도있고 음악도좋고 의외로 영상미가 죽였줬음 무엇보다도 목적있는삶을 살아야 사는거지 캐릭터들 귀요미 
92,연출 감동 상상력 기대 이상 애기들은 지루할수잇음 주의 
93,작화 스토리 철학적으로도 훌륭했다 
94,유쾌하고상쾌하다 
95,재즈 조앙 캐릭터들도 귀엽고 젛았음 22가 너모 매력적 
96,연기 진짜 못봐주겠네 스토리도 그지같으면 연기라도 잘하던가 존나 쪼개네 
97,아이들에게는 조금 어려운 소재였던거 같아요그래도 잔잔한 감동이있는 볼만한 영화였습니다 
98,울었어요 감동적이네요우리가 살아야 할 방향이예요 
99,77년고교시절받은 해양훈련과 같아서 한국인이 더 강하고 독하다는걸 알게해준 영화다 
