,txt
3322,편안하고 뭔가 힐링되는 영화 영상미도 좋음 배두나 연기 잘함 
3323,보면서 나만 우는건가 했는데 다들 훌쩍이고 있듬ㅠㅠㅠ 진짜 어른들을 위한 애니메이션이라는 말이 딱 맞아ㅠㅠ 
3324,정확히 말해서 중공군이아닌 중화민국의 항일투쟁입니다 
3325,경찰 아줌마랑 의사 아줌마 두분 다 이쁘다 그래도 아줌마들이 이뻐서 볼만했다 근데 경찰 아줌마가 더 이뻣음ㅠㅠ 나 20대남인데 경찰 아줌마 배우랑 결혼 하고싶다 ㅠㅠ 너무 이쁨 
3326,초등생 아이들이보면 재미없어요 가끔은 힐링이 필요할때 있잔아요 내영혼의 빈곳을 채워줄 무언가를 찾아내는 하루 
3327,역시 아버지 감동 
3328,다 보고나서 개봉년도를 보고 깜짝놀람 거의 30년전에 만든 영화라니 
3329,걍 아무생각없이 보기조흠 
3330,cgv와 megabox에서 소리소문없이 눈깔에 안띄게 망하길 바랍니다 역겨워서 봐주기 싫네요 
3331,영화 주인공처럼 나는 음악을 하다 말았는데 솔직히 당신이 생각하는 당신의 불꽃 음악을 하세요 라고 할 줄 알았는데 그게 아니였다 그래서 좀 다른 충격 그리고 아무리 훌륭하고 대단한 위인일지라도 그 사람도 그저 한 개인에 불과하다는 것 사람들이 해대는 이야기는 자신에게 빗대어 자기 자신에게 하는 이야기라는 생각이 들었다 너에게 해당되는 게 나에게는 해당이 안 될 수도 있다 그 개인들 때문에 개인인 내가 그 말에 휘둘리거나 상처를 받고 앞으로 나아가지 못할 이유는 없다 그러나 너도 나고 나도 너다 네가 상처받는다면 나도 상처받는다 우리 모두가 서로에게 조금이라도 너를 나와 같이 생각해 준다면 이 세상 모든 나 들과 행복하게 살다 갈 수 있지 않을까 우리는 인생을 살 준비가 되서 이 지구에 내려왔기 때문이다 
3332,요즘 왜 살아야하나 하는 종류의 고민을 매일마다 하는 저에게 시기적절한 영화라 생각이 들었고 믿고보는 픽사여서 바로 가서 봤어요 보통 죽고 나서 저승을 가는 얘기는 흔하지만 태어나기 전의 세계를 그린 영화는 드물잖아요 이런 설정자체가 너무 신선했는데 영화가 던지는 메시지와 줄거리 자체가 이런 배경설정에 비해서는 다소 뻔하고 진부한 거 같아요 물론 공감은 많이 가지만 새로운 물음표를 던져주지 않는다는 느낌 어머니가 원래는 재즈뮤지션을 반대하시다 갑자기 대화 한번으로 태도가 돌변하는 모습도 개연성이 부족해보이고  좀 여러모로 아쉽지만 담백하고 좋은 영화임에는 틀림없는 거 같아요 조금 기대 이하이긴 했지만 요즘같은 시국에 갑갑함을 느끼신다면 볼만한 영화에요 
3333,언텍트 시대에 훈훈한 가족 영화가 나와서 참 따뜻합니다 
3334,꼬충이들 숨어살면서 이런 영화보면서 정신승리하는게 더 애잔하다 
3335,극장에서 꼭 보거싶었던 영화입니다너무 좋아요 
3337,잘한다 잘한다 하니까 그냥 발가락으로 만든 영화 어렵고 난해한것 같지만 시간을 주무른다는 것만 신선하지 뜬금없는 맥락으로 시작해서 배배 꼬느라 고생했을거 같네 보는 사람은 고통 
3338,감동적이에용 감동감동 
3339,나만 초속 3cm로 기억하는거야 
3340,잘 짜놓은 각본 좋은 연출 
3341,생각했던거 보다 재미있게 봤습니다인생은 살아있는것이 가치있는 일인듯 해요 감사합니다 
3342,인사이드 아웃과 코코를 잘 조합한 디즈니와 픽사표 어른용 애니메이션 끝판왕 꼭보세요 
3343,잼재미 있어요중간에 보았는데도 감동이야요 
