,txt
567,1년에 한 번 씩은 다시보는 영화 
568,원작과 영화의 시작품성과 시대성은 만점 지금의 시대상과의 조화는 50점 
569,제일제밌게본 인생영화 
570,조와 같은 생각을 하면서 하나의 목표가 마치 인생의 목적인 것 처럼 살고 있지 않았나돌아보게 되네요 의미를 주는 영화였어요 
571,잼있어요 이런코미디자주나왔오세요 
572,삶이 무엇인지 알게 해 주었다 뭔가 거창한게 아니라 일상 속에서 행복을 찾고 순간을 즐기면서 사는 것힘들 때 두고두고 꺼내 볼 위로 같은 영화 
573,다시보니까 이소룡 싸움 연출 너무 전대물임ㅋㅋㅋ 준내게 오글거림 견자단 싸움은 존멋 
574,누군가에겐 위로를 누군가에겐 힐링을 
575,영상이 너무너무 예뻐요 귀엽고 깜직한 영혼들울집에서 키우고 싶더라구용주제도 감동입니다 
576,진부한 교훈 진부하지 않은 영화 
577,다아시 사랑해 ㅠㅠ 
578,책이나 읽을걸 그랬나 하고 앉아서는눈물 뚝뚝 흘리며 봤다 
579,여주를 쿨하고 지적이고 멋있는 여자로 보이게 하려고 영화 만들었나요 좀 더 인간이 느끼는 자연 스런 감정에 솔직했으면 
581,미래의 룸망주들과 미래의 딸배들의 이야기 ㄷㄷ 
582,영화프로그램에서 보고 재미있어보여 급 예매하고 보러가게 되었는데 나오는 배우분들이나 초반설정때문에 재밌게 봤는데 뒤로 갈수록 내용이 정신없고 앞에서 나온 영상을 뮤직비디오식으로 편집해서 보여주며 시간끄는듯한 느낌 
583,당연하지만 달에 첫번째로 간 닐 암스트롱 영화인데 그걸 잘 풀어냈다 이 영화를 보고 지루하다고 한 사람들은 우리나라의 자극적인 전쟁역사영화나 보길 
584,이제는 주변서 보기힘들정도로 고전이 되버린 아케이드 게임 캐릭터들이 주인공으로 새로운 환경인 인터넷속으로 들어가 모험을 한다는 신선한 창의성이 돋보이는 애니다 스트리트 파이터소닉등 유명 아케이드 게임 캐릭터들과 스타워즈 디즈니애니의 여러 동화속 공주들등 카메오들을 보는 즐거움도 쏠쏠하다 스토리는 식상한 감이 있지만 인터넷 세상을 정말 잘 시각화했다 영화내내 많은 볼거리와 빠른 속도감으로 스토리가 전개가 됨에도 2시간 가까운 러닝타임이 길어서 살짝 지루한감이 있다 터프걸 쌩크는 예쁘고 세련되고 카리스마가 돋보이는게 웬지 갤가돗스럽다했더니 진짜 갤가돗이 성우를 했다 한국말 더빙버전의 경우 뮤지컬등 노래를 할때 들어주기 거북할정도로 오리지날과 퀄리티 차이가 많이 나는데 이 애니는 한국성우 버전 합창곡도 퀄리티가 듣기 괜찮은게 좋았다 성인이 보기엔 약간 지루하고 아이들용으로는 최고의 애니중 하나가 아닐까 싶다 영화후 마블처럼 쿠키영상이 2편 있으니 놓치질 말길 
585,희준배우님 보러갔는데 영화내용은 진짜 헐헐이다 기가 꽉찬다 이거보고 잼나다고 글쓰신분들 대박 내가 이상한건가  
586,아ㅡ엄청웃고 봤네요오로지 진정성 하나로ㅋ봤다는 ㅋㅋ 
587,시고니위버의 진실 
588,분노의 이병헌vs광기의 최민식 
589,뭔말인지 이해안가는채로 영화 끝나는거 실화 
590,대담한 선을 그리지 않는다면 훌륭한 그림을 그릴 수 있을지 없을지는 영영 모른다 
591,잘 만든 영화군더더기 감성소모가 없이필름을 잘라낼 줄 아는용기가 좋다 
592,기다린보람이 있었습니다 
593,웃음포인트 웃을 수 없는 포인트 2줄거리 시도는 좋으나 구성도와 내용이 부실함 2연기력 친밀도 없이 따로 연기하는 느낌 강약이 없음 2연구력 배우 의존도가 높다보니 끌려가는 스토리가 된 드낌 감독에 생각의도와 포인트를 잡지못함영화를 만드다는 건 매력적인데 잘만들어낸다는것 쉽지않은듯 싶습니다너무도 영화에 대한 지식이 많으면 오히려 영화를 만드는데 실패하는 경향이 많은듯 싶네요다른 발상을 같는 전혀 다른 분야에 독창적인 아이디어가 오히려 대박이 날수있다생각합니다미친놈이 호랑이를 잡는 법이죠 
594,사이비 속에 숨겨진 현대인의 관계에 대한 속박감과 해방 이야기 
595,일상이 소즁해지는 영화 
596,볼까말까 고민한다면 보세요 
597,소재나 연기는 좋은데 스토리가 탄탄하지 못해서 전개가 루즈한편ㅠ엄마가 아이를 자기 아이라고 확신할만한 직감적인 장면이나 아이를 훔친 여자로부터 그 증거를 찾아내는 과정 그게 밝혀지는 과정에서 연출이나 스토리가 탄탄했으면 훨씬 재밌었을 영화 여자주인공의 감정연기가 90를 차지했고 쏘쏘였음 
598,소울을 보면서 많은 힐링과 감동을 받았습니다 꼭 보세요 후회하지 않을 겁니다 
599,평점이 6점대라니 ㅠ 재밌게 봤어요 되게 생각할 거리도 많고 
600,결혼이야기 레볼루션너리 로드 이후 연애와 결혼의 아득한 괴리를 잘 보여준 영화네요 이 세 영화를 보면 결혼은 죽어도 안할듯 
602,영상미가 정말 픽사 디즈니다 할정도 좋네요 ㅎ잼잇어요 그리고 엔딩클래딧 끝나고 추가영상 잇어요 
603,최고예요 정말 삶의 의미를 얻고 가네요 
604,삶의 목적을 잘 드러낸 영화입니다 삶의 의지를 잃은 이들에게 추천합니다 단지 57세가 보기엔 조금 어려운 영화입니다 그러나 22호는 삶의 목적을 찾았습니다 존의 몸에 들어갔을 때 무의미한 행동들을 했으나 그런 행동이 삶의 목적이었다는 게 감동이었습니다 
605,작가의 가치관 필력이 얼마나 큰 힘을 가지고 있는지 알게 되었습니다 인생을 되돌아보고 다시 열심히 살아보겠느라 다짐하게 되네요 상담받은 것보다 몇배나 위로 받았습니다 감사한 영화입니다 
606,세월이 야속하다 윗니 휴스턴 
607,무의미하고 지루한 인생을 보내고 있는 줄 알았는데 삶의 소중함을 일깨우는 영화입니다 
608,수능끝나고 보는 첫 영화네요 엄청 힐링했어요 또 보고싶어요 
609,뻔하디 뻔한 내용이지만 긴장감 있게 잘 만들었다 
610,b급 슬래셔무비인 척하는 명품 블랙코미디 
611,영상 표현이 좋았어요 무언가 되지 않아도 된다는 위로를 받았습니다 
612,역시 디즈니믿고 봅니다최고네요 
613,좋은 영화이긴 했는데 현실을 생각하면 씁쓸해지는 기분이 드는건 어쩔수가 없네요 
614,최고의 애니메이션입니다 
615,우리의 삶이 목적을 다시 찾아다줄 영화 정말 많이 추천합니다 
616,다큐멘터리가 얼마나 강하고 아름다운지 처음 알게 해주었습니다 다큐멘터리를 보는 동안 누군가의 인생을 친구로서 곁에서 지켜보는 것보다 더 깊이 더 가까이 보는 것 같았습니다 인생에는 한 가지 길만 있는 것이 아니고 모두가 가는 길을 가야 할 필요도 없다는 값진 교훈을 얻었습니다 
617,지친거야라는 대사와 물고기를 보지 못했을 때 절망하는 조제의 모습은 잊혀지지 않을듯 
618,배급사 이시기에 이걸 왜 수입햇는지 도통 이해가 안가네요 
619,인생의 의미란 천명을 아직 모르는 50대를 위한 애니 
620,생각을 필요로 하는 영화 동시에 깊이 생각하기 싫어지는 영화이 세상 어딘가 마츠코라는 인물이 있을 것만 같다 
621,뭐하는 영화인지모르깄음 개노잼 
622,평점 뭐냐 잼나게봤구만 
623,와 진짜 이런 병맛 ㅋ 1점은 왜없냐 
624,엔딩 크레딧까지 완벽한 영화 
625,재밌어요배우들연기도좋구요 
626,내 인생에 spark가 없음을 탓하지 말라 
627,처음 주동우 우는 연기 보자마자 반해버림 연기가 너무 압살이라 나머지가 죽어보일 정도 놀랍고 또 놀라움 
628,약간 유치하고 엉성한 스토리라고 해야할까 살짝 실망이예요 ㅠㅠ 
629,정치편향적인 김대중우상영화 
630,ㅋㅋㅋㅋ아니 별 기대 안하고 봐서 그런지 엄청 웃었다간만에 시원하게 웃으려고 코미디 영화 찾다가 우연히 보게 된 이 영화ㅋㅋㅋ모든 배우들이 다 빛을 발한 영화라고 생각된닼ㅋㅋㅋㅋ그나저나 이시영 진짜 이뻐서 감동함이시영같은 여자랑 연애하고싶구만ㅎ 
631,이거 버디갚너무 웃김 내가 다시 보고 싶은 영하 top1 
632,저냔나오는 영환 왜 스토리는 없고 저냔 못생긴얼굴만 나오다끝나냐18 열받네 
633,마음이 따뜻해지는 영화 영화막바지에 헨리를 향해 달려오던 클레어 그 순간이 가장 감동적이었다 
634,생각할수있는 철학적인 영화라 잘 봤어요하지만 전체관람가라고하기에는 수준이 너무높아아이들은 좋아하지 않네요 
635,교훈도있고 스토리도 좋고무엇보자 영혼들이 귀여워요 
636,세종대왕님 께서 글자를 창조하고 다른것 개혁하면서정지척으로도 스스로도 외롭고 힘드셨던면 을 표현하려고 하신거 같은데의도는 좋은나 전혀 공감가지 않는 역사왜곡으라는 느낌이 너무나도 큰영화였습니다세번을 봐도 별로네요 
637,얼마전에 인터넷에서 본 어느 노년의 할머님이 남기셨다는 글인생을 살아보니 마지막에 웃는 사람이 승자가 아니라 자주 웃고 산 사람이 승자더라 하는 그 글이 떠올랐어요 감각들을 더 활짝 열어서 열심히 경험하고 느끼고 감사하며 살아야겠습니다  
638,바람나서 집을 나간 아버지한테서 연락이 왔습니다먹고 살기 어려우니 부양해달라고요 제가 찾아가 말하길당신이 절 버렸지만 전 당신을 용서했습니다마음의 양식을 삼으십시오아버지의 손에 쥐어 드린 그것 그렇습니다클레멘타인dvd였습니다 
639,와 이거 진짜 재밌음 난 이거 1년에 처음으로 4번 봤음가족이랑 같이 볼만한 영화로 추천 
640,그냥저냥 킬링타임용임 
641,별 하나도 아까움 부산행2라고 하지말자 
642,목표를 이루면 마치 세상이 변하고 모든 것이 달라질 것같지만 현실은 내 일상 속의 미세한 변화만 일어날 뿐 소소한 일상 그 자체로 행복임을 알려주는 영화 가끔 하늘을 보면 느껴지는 막연한 시원함 가족과의 추억 내가 좋아하는 음식을 먹을때의 행복 우리는 그렇게 이미 아름다운 삶을 누리고 있다는 것 
643,아만다 넘 이쁘네요 눈물 찔긋 
644,스파이더맨을 넘고싶었던 갤가돗 
645,2021년에도 보고계신분 있나요 최고최고 
646,살면서 너무 많은 순간을 무의미하게 치부해버렸다 목적을 못 찾거나 아직 이루지 못 했다는 불안때문에 낭비한 내 소중한 찰나의 시간들 스스로에게 미안해서 눈물 쏟아지는 영화 
647,너무 감동적이고 재밌어요적극 추천이요 
649,20년이지난지금 봐도 재미있네요 
650,인생을 다시 생각하게 되는 영화입니다 
651,너무 멋져요 
653,모든것이 완벽하게 비벼진 최고의 영화 
654,좀 현실적인 답답한 상황을 전개하다보니 재미보다는 저럴수도 있겠구나 하는 정도 약간 지루하게 만든게 흠이다 
655,자기 가족만 중요한 민폐가족 이야기 
656,왜 이 영화를 이제야 봤을까요 
