,txt
1114,잘만든 영화입니다 억지감동도 없고 있는그대로 재미와 흥미가 잘 표현되있네요 
1115,원작과는 캐스팅이 맞지 않음원작을 많이 사랑하시는 분이시라면 비추모두 연기력은 좋지만 배역과는 맞지 않았던것 같음원작의 설정을 깨버림그리고 현재와 과거가 휙휙 바뀌는데 구분이 어려움애이미가 너무 성숙하게 나옴깨발랄한게 매력이였는데하지만 옷 디테일이라든가 분위기는 잘살아있음원작을 보지 않으신 분이라면 한번쯤 볼만함하지만 원작을 보셨다면 영화와 원작이 좀많이 다르니 비추비추비추 
1116,몰입감이 무척 뛰어났습니다사실을 기반으로 했다는 것과 또한 지금껏 서구 좌파지식인들의 회피로 소외되다시피한 소련 공산당의 사악하고 반인륜적 행태들에 대한 폭로의 신호탄이 아닐까 합니다 조지오웰의 1984가 어떻게 그렇게 예언서처럼 정확히 이데올로기에의한 전치주의 사회를 잘 그려냈을까 했는데 이런 간접적 정보를 바탕으로 충분히 통찰력있게 아 으로 반복돨 무고한 희생에 대한 경종을 울렸구나 싶었습니다존스의 염려대로 이후에도 수천만명의 목숨이 중국에서 사라졌고 현재 북한에서도 우크라이나의기근과유사한 아사자 피골이 상접한 동포들 거기에 반해 평양의 흥청망청임이 이어지고 있죠우리의 무관심또는 의도된 선동하에 
1117,사랑하는 법을 알려줘서 고마워 그리고 사랑받는법도첫 택시에 타는장면과 이어져 더욱 뭉클한 장면으로 다가왔다여운이 참 짙게 남는 영화다사랑에 대한 질문과 대답을 동시에 던져준 것 같다 
1118,성범죄자의 연출력이란 역시 저속합니다 강간범 
1119,결국 나늘 가장 잘 알고 이해할수있는 사람은 가족이네요 
1120,중년의 품격과 여유의 정점 리차드기어 천진난만 사랑스러운 줄리아로버츠 말이 필요없는 두 배우의 만남 20년이 훌쩍 넘은 지금 봐도 설레이는 최고의 영화 
1121,이렇게 맛있는 고구마가 없다 도원이형 
1122,다들 엑시트엑시트 해서 봤는데 존잼 곳곳에 한국 현실반영이 너무 웃음 포인트 
1123,불꽃에 목적은 없으니 매순간 즐겁게 보내라 
1124,흠 웃음만 나오네 ㅋㅋ 
1125,밑에 무슨 내용인지 모르겠다는 놈은 그냥 영화 보지마라 
1126,                                                22   
1127,미션 임파서블보다 훨씬 재밌다 
1128,다시한번 민주주의를 마음속에 새깁니다대한민국은 민주공화국이다대한민국의 주권은 국민에게 있고 모든 권력은 국민으로부터 나온다 
1129,웃으면서 즐길 수 있는 영화 설날 다가오는데 부모님 손잡고 가서 보길 
1130,환타지로 넘어갈 때는 이해가 필요한데 뭐가 없다 절절함이나 재미가 있어야 한다썸웨어 인 타임 아니면 패밀리맨 이런 틀 아니면 성공하기 쉽지 않다 
1131,배우가 아깝습니다 연출 심각할정도로 구리고 이런 평 절대 안쓰는 사람인데요 너무 짜증났습니다 
1133,그냥 처음부터 끝까지 욕하고 과함만 지르다 끝남 저런 명품 배우들 가지고 이런 영화를 만들다니 아쉽구려 
1134,화질은 옛날거라 그런지 조금 안좋아도 스토리 자체도 좋고 액션씬도 괜찮아서 추천합니다 
1135,에드워드 노튼 한테 푹 빠져 있던 아주 오래전 극장에서 봤었는데이 시국에 다시 보니 또 중국이냐 하는 생각밖에ㅡㅡ 
1136,인생영화진짜 재밌게 봤음 
1137,도입부 경관과 음악 등 연출에 몰입 세 배우의 시각에서 충분히 이해되는 스토리 건축가이자 아이를 사랑하는 아버지로서의 리차드기어의 모습도 무척 사실적 90년대 영화라는게 믿기지 않는 세련됨 
1138,그냥 너무 일이 꼬여있음 너무 답답하고 그냥 한두번 꼬이고 서로 고백했으면 감동과 설렘이라도 있겠는데 너무 막장 남주 막판에 결혼한지 얼마됬다고 바로 여주한테 가서 그러냐 진짜 
1139,돼지처럼 살찌고 몸이 둔한사람은 한심하고 답없다 
1140,삶을 어떻게 살지 알게해주는 작품 
1141,재익이가 다했다 진짜천재 재익이 
1142,눈물없이 볼수없는 영화 코로나 때문에 못봐서 dvd구입해서 봤는데 마음이 아파서 두번은 못보지 않을까ㅠ 아이가 너무많이 우네요 ㅠ 정말 마지막 반전으로 동생이 가여워 많이 울었습니다 역시 픽사 
