,댓글,출처
22,한심한노 답,./data\JTBCNEWS_인스타_댓글_1116.csv
23,관리자 실직자 되게 생겼네,./data\JTBCNEWS_인스타_댓글_1116.csv
25,관리자 잘가요,./data\JTBCNEWS_인스타_댓글_1116.csv
27,새벽에 프라다 보고 깜놀구매하기까지는 들었,./data\JTBCNEWS_인스타_댓글_1116.csv
28,오아 저거ㅜ살걸,./data\JTBCNEWS_인스타_댓글_1116.csv
30,전산잘못등록한 사람은 짤렸게네 지금쯤은,./data\JTBCNEWS_인스타_댓글_1116.csv
31,오빠 ㅋㅋㅋㅋㅋㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
32,직원은 털탈 털리겟지 ㅠ,./data\JTBCNEWS_인스타_댓글_1116.csv
35,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 디져따 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
38,와이거 잘못 처리한 사람 회사 쫓겨나겠는데,./data\JTBCNEWS_인스타_댓글_1116.csv
39,아이런법 개정말고 친척이진빚까지 조카한테 청구하는 그지같은법들이나 개정지,./data\JTBCNEWS_인스타_댓글_1116.csv
40,퀵보드를 잘못탄 학생들의 잘못으로 애꿎은 운전자만 독박을 썼네요 이럴경우 운전자는 뭔죄인지 모르겠어요 1인이 타야하는 퀵보드 핼맷을 써야하는 퀵보드 전혀 지켜서 타지 않은 학생들의 잘몰이라 죽은 사람이 불쌍한게 아니라 운전자가 얼마나 트라우마를 갖고 살아야하는지 너무 불쌍합니다,./data\JTBCNEWS_인스타_댓글_1116.csv
41,전동킥보드절대 위험합니다 더 죽고나야 법을 바꾸지 말고제발 위험성을 먼저 생각해주세요운전하다가 심장 멎을뻔 한적이 한두번이 아닙니다 걸어다니다가도 깜작 놀랍니다 도대체 타는 사람만 신나하는 저 위험한 것을 어찌해야할까요,./data\JTBCNEWS_인스타_댓글_1116.csv
42,잘 뒈졌다 친 운전자는 무죄 해주자,./data\JTBCNEWS_인스타_댓글_1116.csv
43,없애는게 맞다고 본다,./data\JTBCNEWS_인스타_댓글_1116.csv
44,전혀 안불쌍해,./data\JTBCNEWS_인스타_댓글_1116.csv
45,타는건 좋은데 제한을 두는 법안이 필요 합니다 인도와 자전거 도로 외 운행은 헬멧과 보호장비 필수위반시 범칙금 원동기로 규정하고 원동기 면허 소지 필수 안그럼 애꿎은 못숨 줄초상 납니다 자동차 운전자들 안그래도 법 앞에 최약자인데 이젠 퀵보드까지 조심 해야하나요,./data\JTBCNEWS_인스타_댓글_1116.csv
46,재미보려다 목숨 잃습니다위험한건 하지맙시다젭알,./data\JTBCNEWS_인스타_댓글_1116.csv
47,퀵라니들 진짜 노답,./data\JTBCNEWS_인스타_댓글_1116.csv
48,돈에 눈이 멀어 사고를 부추기는 업체들과 엉망으로 법을 만든 사람들,./data\JTBCNEWS_인스타_댓글_1116.csv
49,다시 법 개정하자,./data\JTBCNEWS_인스타_댓글_1116.csv
51,잘타다가 요단강도 잘건너라,./data\JTBCNEWS_인스타_댓글_1116.csv
52,반대입장 한표,./data\JTBCNEWS_인스타_댓글_1116.csv
53,Perasaan kecelakaan skuter elektrik ini relatif sering deh di Jakarta Tapi mungkin karena pembatasan yang ketat dampak kecelakaan ini bisa diminimalisir,./data\JTBCNEWS_인스타_댓글_1116.csv
54,허접한 킥보드 법안 발의통과한 국회의원들 가족들이 사고를 당해봐야 실감을 할텐데,./data\JTBCNEWS_인스타_댓글_1116.csv
55,속도를 시속 10km미만으로 강제하던지 법안을 폐지하던지,./data\JTBCNEWS_인스타_댓글_1116.csv
56,자동차 운전도 13살부터 무면허로,./data\JTBCNEWS_인스타_댓글_1116.csv
57,지금 서울만 아니고 전국적입니다 얼마나 죽어나가야지 이법을 다시 강화할까요 중딩들도 초딩들도 도로에서 타고 다닙니다,./data\JTBCNEWS_인스타_댓글_1116.csv
58,킥보드는 자전거 도로에서만 타게 해야 합니다,./data\JTBCNEWS_인스타_댓글_1116.csv
59,아무곳에서나 타고다니니까 사고나는거,./data\JTBCNEWS_인스타_댓글_1116.csv
60,wow 우리동네야 진짜우리동네 고딩들 이럴줄알앗움,./data\JTBCNEWS_인스타_댓글_1116.csv
62,대깨킥 3콤보 영상,./data\JTBCNEWS_인스타_댓글_1116.csv
63,이거지 베라 앞에서 사고 난거,./data\JTBCNEWS_인스타_댓글_1116.csv
65,하운전할때 퀵보드땜에 불안해서 미치겠는데 더 불안하게 만드냐,./data\JTBCNEWS_인스타_댓글_1116.csv
66,중국처럼 2륜차 전용도로 만들면 해결됨,./data\JTBCNEWS_인스타_댓글_1116.csv
67,근본적인 문제는 정부가 오만광고질로 장려해놓고 규정은 없었다는게 문제요,./data\JTBCNEWS_인스타_댓글_1116.csv
68,킥보드 이용잔데 스스로 조심하는 수 밖에 없음 자전거 도로 이용하고 신호 준수하고 속도 조절 잘 하고 전후좌우 주시 잘 하고,./data\JTBCNEWS_인스타_댓글_1116.csv
69,법이 거꾸로 가는구나 좀있음 자동차도 그냥 타라 하겠네요,./data\JTBCNEWS_인스타_댓글_1116.csv
70,도로 법도 모르는애들이 저런거타고 막 다니니까 다치지 법을 제대로 규정해야지,./data\JTBCNEWS_인스타_댓글_1116.csv
71,아니 밤에 라이트도 안 달고 신호 표시도 안하고 지 멋대로 달리는데 이것도 교통법규 적용해줘야지 무슨생각으로 도로위를 당당하게 달리는건지갑자기 튀어나와도 차가 알아서 피해지는줄 아나,./data\JTBCNEWS_인스타_댓글_1116.csv
72,This is dangerous,./data\JTBCNEWS_인스타_댓글_1116.csv
74,아니저런 킥보드 둘이 타는 커플들생각이 있는건지,./data\JTBCNEWS_인스타_댓글_1116.csv
75,퀵보드를 안타는게 답인듯,./data\JTBCNEWS_인스타_댓글_1116.csv
76,제발 쫌없애자,./data\JTBCNEWS_인스타_댓글_1116.csv
77,법은 표 앞에 무너진다,./data\JTBCNEWS_인스타_댓글_1116.csv
78,제발 인도로 좀 다니지마라,./data\JTBCNEWS_인스타_댓글_1116.csv
79,아이고 진짜 빙시들같어 킥보드 자체로도 너무 위험한데 저렇게 생각없이 타고다니며 배짱튕겨,./data\JTBCNEWS_인스타_댓글_1116.csv
80,부주의퀵보더들 때문에 도로교통법 개정하나,./data\JTBCNEWS_인스타_댓글_1116.csv
81,이러니 개콘이 폐지되지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
82,지들이 퍼뜨려 놓고 온갖행세는 다하네 참 어이없음,./data\JTBCNEWS_인스타_댓글_1116.csv
83,지들이 퍼트리고 왠 오바여 ㅋㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
84,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 반도체 취업가나요 ㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
85,이번엔 일본편 든다 일본 말이 맞을거 같은데 ㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
86,욱길려고 한거면 인정 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
87,방사능 때문이겠죠 설마 ㅎㅎㅎㅎ,./data\JTBCNEWS_인스타_댓글_1116.csv
88,중국은 일본을 못 믿고 일본은 중국을 못 믿어서 서로 아전인수격 기사만,./data\JTBCNEWS_인스타_댓글_1116.csv
90,지랄을 한다 역격리 고맙다,./data\JTBCNEWS_인스타_댓글_1116.csv
91,보이콧해라 짱개나원시나,./data\JTBCNEWS_인스타_댓글_1116.csv
93,근데 중국이 퍼뜨린거도 맞고 일본 방역체계 못믿겠는거도 맞는딬ㅋㅋㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
94,방귀뀐놈이 요란하네,./data\JTBCNEWS_인스타_댓글_1116.csv
95,증말 주접들 떨고 있네 적반하장 내로남불 오진다,./data\JTBCNEWS_인스타_댓글_1116.csv
96,쑈를 하네ㅋㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
97,이래서 요즘 개그맨들이 든거 아니겠어여,./data\JTBCNEWS_인스타_댓글_1116.csv
98,즈그들이 쳐 퍼트려놓고 꼴깝떨고자빠졌네,./data\JTBCNEWS_인스타_댓글_1116.csv
99,쇼하고 있네안 됬다 중구그,./data\JTBCNEWS_인스타_댓글_1116.csv
100,진짜 뒤지게 싫다 우뜩해,./data\JTBCNEWS_인스타_댓글_1116.csv
101,팝콘좀튀겨와 같이보겤ㅋㅋㅋㅋㅋㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
102,지네때문에 온나라가 지랄낫는데,./data\JTBCNEWS_인스타_댓글_1116.csv
103,짱개 짱개 짱개 짱개 짱개,./data\JTBCNEWS_인스타_댓글_1116.csv
104,샹 ㅋㅋㅋㅋ 존나 방귀뀐놈이 성낸다고 어쩜 저렇게 뻔뻔하냐 ㅉ ㅉ,./data\JTBCNEWS_인스타_댓글_1116.csv
106,중국 우리가 이렇게 방역이 철저해 일본 우리가 이렇게 차단했어,./data\JTBCNEWS_인스타_댓글_1116.csv
107,일본가면 100퍼 코로나 걸린다,./data\JTBCNEWS_인스타_댓글_1116.csv
108,똥 묻은 개가 겨 묻은 개를 나무라네,./data\JTBCNEWS_인스타_댓글_1116.csv
109,만리 방화벽으로 세상이랑 단절되니까 지들이 세상에서 바퀴벌레 취급 받는 사실을 모르고 사네,./data\JTBCNEWS_인스타_댓글_1116.csv
110,ㅈㄹ을 한다,./data\JTBCNEWS_인스타_댓글_1116.csv
111,안 입으면 뭐라고 또 할거면서 얘네는 걍 노답이네,./data\JTBCNEWS_인스타_댓글_1116.csv
112,짱꺄나 쪽바리나,./data\JTBCNEWS_인스타_댓글_1116.csv
113,민경욱 믿고 쭉 가봐라503번 당첨될거야,./data\JTBCNEWS_인스타_댓글_1116.csv
114,할아방 정신 차리쇼 노망이야,./data\JTBCNEWS_인스타_댓글_1116.csv
115,그래도 다 사더라고,./data\JTBCNEWS_인스타_댓글_1116.csv
116,디자인이 별로인데 흠 취소,./data\JTBCNEWS_인스타_댓글_1116.csv
117,애플워치 살돈없어서 샤오미 미밴드5 차는데 이게 더 이쁨,./data\JTBCNEWS_인스타_댓글_1116.csv
118,우리도 마냥 기다렸으면 1월로,./data\JTBCNEWS_인스타_댓글_1116.csv
120,역시 갓 애플,./data\JTBCNEWS_인스타_댓글_1116.csv
122,흐음 그래도 두줄 핵이쁜데,./data\JTBCNEWS_인스타_댓글_1116.csv
124,이것이 그 애플워치,./data\JTBCNEWS_인스타_댓글_1116.csv
125,애플 불매,./data\JTBCNEWS_인스타_댓글_1116.csv
126,말이 많네 역시,./data\JTBCNEWS_인스타_댓글_1116.csv
127,내가 기억하는게 맞는거야,./data\JTBCNEWS_인스타_댓글_1116.csv
128,너 얘긴데,./data\JTBCNEWS_인스타_댓글_1116.csv
130,중국부터 잘 잡으라우,./data\JTBCNEWS_인스타_댓글_1116.csv
131,말은 존나게잘해요 ㅋㅋ 말만 잘해,./data\JTBCNEWS_인스타_댓글_1116.csv
132,맞는 말인데도 전혀 신뢰가 안됨,./data\JTBCNEWS_인스타_댓글_1116.csv
134,하하고 싶은거 다 해라 진짜 징하다 징해 진정 해야하는게 뭔지 모르나,./data\JTBCNEWS_인스타_댓글_1116.csv
135,알고나 떠드는지 최악,./data\JTBCNEWS_인스타_댓글_1116.csv
136,제 가정이라도 줄여볼테니 티끌이 태산되어 탄산이 줄면 좋갯네용,./data\JTBCNEWS_인스타_댓글_1116.csv
137,또 세금 얼마 날리게,./data\JTBCNEWS_인스타_댓글_1116.csv
139,눈빛이 그윽하신 문프님 이렇게 또 얼굴보니 행복합니다,./data\JTBCNEWS_인스타_댓글_1116.csv
140,우리가 하면 뭐하누 주변국들은 신경도 안쓰는데,./data\JTBCNEWS_인스타_댓글_1116.csv
141,댓글들이 왜이리 무식할까,./data\JTBCNEWS_인스타_댓글_1116.csv
142,오직 문대통령만 믿고 따릅시다 보수적폐언론 폐간 국민의짐 해산하는 그날까지,./data\JTBCNEWS_인스타_댓글_1116.csv
143,훠훠훠 아무뤼 그뤠도 뮈쉐뭔쥐 안좝슙니댜 훠훠훠,./data\JTBCNEWS_인스타_댓글_1116.csv
144,웃음만 ㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
145,지랄한다미세먼지나 잡아라 중국에 말도 못하면서 말은 잘도 씨부린다,./data\JTBCNEWS_인스타_댓글_1116.csv
146,아나운서들 발음 연습좀 하길,./data\JTBCNEWS_인스타_댓글_1116.csv
147,깨끗이도 발음 못하는 뉴스 앵커,./data\JTBCNEWS_인스타_댓글_1116.csv
148,대통령이 명령한다살아서 돌아오라,./data\JTBCNEWS_인스타_댓글_1116.csv
149,유사언론 jtbc,./data\JTBCNEWS_인스타_댓글_1116.csv
150,훠훠훠 이번에도 추경,./data\JTBCNEWS_인스타_댓글_1116.csv
151,10 질 하는소리 하고 자빠졌네대통령 항개 잘못 뽑아 나라가 개판이네 써글,./data\JTBCNEWS_인스타_댓글_1116.csv
152,아니 문재인은 이딴 소리 집어 치우고 경제 살린다면서 임기 끝나가는데 뭐하니,./data\JTBCNEWS_인스타_댓글_1116.csv
153,탄소 배출 제로 지지합니다,./data\JTBCNEWS_인스타_댓글_1116.csv
154,다들 직접적으로 와닿지않아서 딴소리들 하시는건가 당연 해야되는건데,./data\JTBCNEWS_인스타_댓글_1116.csv
156,"선사시대로 돌아가면 가능
돈쓸 궁리만 하는군",./data\JTBCNEWS_인스타_댓글_1116.csv
157,문벌구 주둥이만 열면 구라,./data\JTBCNEWS_인스타_댓글_1116.csv
158,수소차 세계일등인 대한민국의 문이 활짝 열리는거임,./data\JTBCNEWS_인스타_댓글_1116.csv
160,미국이 이제까지 배출한 탄소가스 어쩔,./data\JTBCNEWS_인스타_댓글_1116.csv
161,부산은 달맞이고개 망한 거 보면 배우는 게 없나 거기다 재개발해서 짓는 게 죄다 아파트 아파트 아니면 집도 아닌가 사람들이 모두 아파트에 살고 싶어하지 않는데,./data\JTBCNEWS_인스타_댓글_1116.csv
163,카페가 늘어난건 집주인이 팔거나 세를 준거아닌가요기존세입자가 쫓겨났단건가요지방이 땅값오른게 좋은거 아닌가요기존세입자들이 갈곳이 없어진단 건가요진짜 궁금해서답좀요,./data\JTBCNEWS_인스타_댓글_1116.csv
164,진짜 추억은 사라지고 외부인이 만드는 가짜 스토리텔링으로 둔갑되는거지 지형적으로도 날씨영향을 많이 받아 유지가 들텐데 가게가 들어서서 외부인이 많아지니 페인트칠도 왜 다 하얗게 했지 영화에서는 저런모습이 나오지도 않고 그냥 사람사는 골목길인데,./data\JTBCNEWS_인스타_댓글_1116.csv
165,젠트리피케이션의 전형이네요 씁쓸 ㅠ,./data\JTBCNEWS_인스타_댓글_1116.csv
167,근데 영화촬영지로 유명한거랑 재개발이랑 무슨상관이예요,./data\JTBCNEWS_인스타_댓글_1116.csv
168,고무바닥 최악이다 증말,./data\JTBCNEWS_인스타_댓글_1116.csv
171,진짜 여기 주민들 불편하긴 하긋당,./data\JTBCNEWS_인스타_댓글_1116.csv
172,띠용영도 등장,./data\JTBCNEWS_인스타_댓글_1116.csv
173,주민들은 마음이 아프겟다 진짜ㅠㅠ,./data\JTBCNEWS_인스타_댓글_1116.csv
174,ㅇㅇ바이든 부정선거나 보도해라,./data\JTBCNEWS_인스타_댓글_1116.csv
175,어플 이름을 공개하는게 아니라 bj를 공개해야지,./data\JTBCNEWS_인스타_댓글_1116.csv
176,그게 결제가 착착 된다는것도 이상하다 ㅡㅡ 아이고 전세보증금을,./data\JTBCNEWS_인스타_댓글_1116.csv
177,병원치료 받게하셔야할듯 1억5천을 모르는사람한테 바치는건 정신적인문제임,./data\JTBCNEWS_인스타_댓글_1116.csv
178,뭐 이런 거지같은 사이트가 있나요 검찰청은 압수수색 안해요,./data\JTBCNEWS_인스타_댓글_1116.csv
179,애가 생각이없네,./data\JTBCNEWS_인스타_댓글_1116.csv
180,뭐야 이 싸이트 폐쇄하고 운영자 한테도 손해배상 해야지 싸이트를 만들기만하고 관리는 안하다니 그 비제이랑 뭐가 달라,./data\JTBCNEWS_인스타_댓글_1116.csv
181,아니 이게 가능한가요,./data\JTBCNEWS_인스타_댓글_1116.csv
182,이건애도 문제지만부모도 문제인 듯그리고bj를 공개해야지ㅜㅜㅜㅜㅜㅜ,./data\JTBCNEWS_인스타_댓글_1116.csv
183,어제 뉴스 보고 얼마나 놀랐던지요,./data\JTBCNEWS_인스타_댓글_1116.csv
184,아무리 돈이 좋다지만 정도가 심하네요,./data\JTBCNEWS_인스타_댓글_1116.csv
185,왜 돌려줘야 하는 지 이유 아시는 분,./data\JTBCNEWS_인스타_댓글_1116.csv
186,변호사 에서 일부 미성년자 이기 때문에 부모 동의하에 돈 일부 4천만원 돌려받을 수있다고 하던데 딴 애들은 돌려줬는데 한bj만 안돌려주고 있다고 해서 법적 절차 진행 하실듯 기사 이름 금방 뜰텐데 좋게 해결하지,./data\JTBCNEWS_인스타_댓글_1116.csv
187,하다못해 중국도 미성년자 한해서 법적으로 한 번은 환불 해주는데,./data\JTBCNEWS_인스타_댓글_1116.csv
189,내가 이래서 하쿠나 어플 문제있당게 에휴 조만간 어플 삭제빵 가즈아 요세 이거 광고도 뜸함,./data\JTBCNEWS_인스타_댓글_1116.csv
190,애들 교육좀 시켜라 멀쩡한 부모들 욕먹이지말고,./data\JTBCNEWS_인스타_댓글_1116.csv
191,어버님 목소리에서 억장이 느껴짐,./data\JTBCNEWS_인스타_댓글_1116.csv
192,아니 어떻게면 휴대전화로 1억을 결제하냐 은행어플들어가서 계좌이체를 햇나,./data\JTBCNEWS_인스타_댓글_1116.csv
193,아니 초등학생이 엄마펀르로 이게 상식적으로 가능해 미친거야,./data\JTBCNEWS_인스타_댓글_1116.csv
196,이거지 네가 말한 거,./data\JTBCNEWS_인스타_댓글_1116.csv
199,헤엑 미쳤나봐 1억을 결재했대,./data\JTBCNEWS_인스타_댓글_1116.csv
200,난 이걸보는데 왜 미성년자 행위능력을 떠올리니,./data\JTBCNEWS_인스타_댓글_1116.csv
201,역시 무자식이 상팔자,./data\JTBCNEWS_인스타_댓글_1116.csv
203,와 저 비제이 뭐야 시청자들도 뭐고 아이고,./data\JTBCNEWS_인스타_댓글_1116.csv
204,너는 이렇게까지 안하지,./data\JTBCNEWS_인스타_댓글_1116.csv
206,누구 생각나는 사람 있지딱 누규,./data\JTBCNEWS_인스타_댓글_1116.csv
209,이거 봐,./data\JTBCNEWS_인스타_댓글_1116.csv
212,나머지 동의 안한 bj 한 명 누구냐,./data\JTBCNEWS_인스타_댓글_1116.csv
213,내새끼가 이러면 어쩌지,./data\JTBCNEWS_인스타_댓글_1116.csv
214,부모와 아이 모두에게 문제가 많은듯 부모님은 아이에게 제대로 가정교육을 시켜야 할 듯 합니다 돈에 대한 개념이 너무 없는것 같습니다,./data\JTBCNEWS_인스타_댓글_1116.csv
215,쥐콩 만한게 보통이 아니다야,./data\JTBCNEWS_인스타_댓글_1116.csv
217,미친놈 아닌가,./data\JTBCNEWS_인스타_댓글_1116.csv
218,별 미친 어플이 다있네 bj얼굴공개했으면 어린애 돈 받고 편안한지 N번방이 걸려도 또 저짓거리하는것들이 있구나 애들 단속도 잘해야할듯 저런 어플은 뉴스로 처음들음 저런게 있는지도 처음듣고 왜 모르는사람한테 돈을 쏠까 그돈 내가 쓰는거 좋지,./data\JTBCNEWS_인스타_댓글_1116.csv
219,아무리 내새끼라도 다리병신 만들어버렸을듯,./data\JTBCNEWS_인스타_댓글_1116.csv
220,어린노므시키가 돈개념이 없어,./data\JTBCNEWS_인스타_댓글_1116.csv
221,억장이 무너진다,./data\JTBCNEWS_인스타_댓글_1116.csv
223,그냥 결제 시스템이 없어져야 됨,./data\JTBCNEWS_인스타_댓글_1116.csv
225,하아시각장애인 엄마 폰으로 몰래 했대하,./data\JTBCNEWS_인스타_댓글_1116.csv
226,1억이 결제가 된다고,./data\JTBCNEWS_인스타_댓글_1116.csv
229,이게 말이가 1억을 결제할 수 있게 해놨다고 보이스 피싱의 연장선이네,./data\JTBCNEWS_인스타_댓글_1116.csv
230,가족의 전세보증금,./data\JTBCNEWS_인스타_댓글_1116.csv
231,와 진짜 막막하노,./data\JTBCNEWS_인스타_댓글_1116.csv
232,애가 그리 되도록 머한거야 부모는 9시이후에 폰뺏고 매일 체크해야한다,./data\JTBCNEWS_인스타_댓글_1116.csv
233,이건 그냥 애가 생각이 없네,./data\JTBCNEWS_인스타_댓글_1116.csv
234,이게 머선일,./data\JTBCNEWS_인스타_댓글_1116.csv
236,이거 비제이랑 시청자가 계속 말렸는데도 계속 보내서 6천 얼마 빼고는 다 환불 해줬다던데,./data\JTBCNEWS_인스타_댓글_1116.csv
239,목숨값 1억원,./data\JTBCNEWS_인스타_댓글_1116.csv
240,난 애 절대 못낳겠다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ1억 3천ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\JTBCNEWS_인스타_댓글_1116.csv
243,와 이런일 없게 잘 가르쳐야겠어요,./data\JTBCNEWS_인스타_댓글_1116.csv
244,니가튼애 또이따,./data\JTBCNEWS_인스타_댓글_1116.csv
250,전세보증금이래 미친,./data\JTBCNEWS_인스타_댓글_1116.csv
251,요줌 롸이브 하쿠놔 롸이브 하는 그거냐,./data\JTBCNEWS_인스타_댓글_1116.csv
254,애색끼 뺨따구를 확,./data\JTBCNEWS_인스타_댓글_1116.csv
255,뒤지게 패야됨,./data\JTBCNEWS_인스타_댓글_1116.csv
257,미쳤구만 걔들이 밥을 주냐 쌀을 주냐 뭘 주냐 ㅎㅎㅎ 일개 팬 하나뿐이야 팬이라고 인정해준들 진짜겠냐 ㅠㅠ 어떻게 그렇게 결제를 아무렇지도 않게 쉽게 쉽게 할 수가 있지 ㅎㅎ,./data\JTBCNEWS_인스타_댓글_1116.csv
