,댓글,출처
75131,이재용같은 선한 사람이 어떻게 사악한 마귀 팀쿡을 이길수 있을까 ㅠ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75132,소녀였으면 첩까지도 노려봤을텐데 소년이라서 친구밖에 못먹었노 ㅠㅠㄹㅇ 불우하노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75133,그아이는 지금 무얼하고 있을까,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75134,양 아들,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75135,재드래곤을 대통령으로,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75136,씨발 부러운새끼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75137,재드래곤 대통령 한20년하면좋겠다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75138,소년범 속으로 이사람이랑 친해지면 나중에 자기도 한몫 할 수 있을거라 생각했을듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75139,예전에 깜빵갔던 게이가 여기 썰 여러개 풀어서 일베갔는데다 유입들인가 이 썰 아는 게이들 없음거기서 그 게이가 그랬잖아 재용이형이 어린애한테 왜 왔냐 물어보고대화하다보니 그 애 어머니 돌아가신거 알고 위로해주고사과 주고 그랬다고ㅇㅇ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75140,그걸 믿니ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75141,난독 새긴가 내가 믿었다했음 그냥 그 썰 아는 게이 있냐고 물어본거지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75142,소년범새끼 재드래곤한테 용돈으로 출소후 1억짜리 수표 3장받앗을듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75143,왜하필 3장이냐 복삼짜냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75144,3성이니까,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75146,이재용이 잡범이랑 같은 방을 쓴다고 말이안됨 당연 독방이지 범털은 버스에서도 누구 옆에 안 앉다교도소 근처에도 안가본 기자년이 소설쓴거임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75147,너네들은 이재용이 앞에만 있어도 어버버그랬을듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75148,배트맨과 로빈,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75149,그게 존나 달콤하게 보이거든개돼지들 한테는,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75150,어떻게 좌좀년들은 하나같이 사진에서 나 좌좀이오 티가나게 사진찍냐 김미화랑 똑같노 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75151,저 개가튼 헐리우드 욕심있나,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75152,게이 닉보면 악마는프라다를입는다 생각나네참고해서 지은거겠지글은 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75153,httpsgalldcinsidecomboardviewidhitno14664 여기서 온거야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75154,방금 다 보고 왔음 진짜 명작이네ㄷㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75155,너무 감명깊게 봤다이거 다보고 아직도 처자고 있는 마누라 그대로 발로 밟아버림 ㅇㅇ지금 배아프다고 똥싸러 갔네 시발련,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75156,궁금해서그런데 결혼하고나서 꼴리면 덮쳐도 별말안함,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75157,사람마다 다르긴 한데반대로 넌 존난 피곤해서 미치겠는데 벌렁거린다고 옆에서 덮치면 별말 안할수 있을까한두번이야 맞춰주겠지만 반복된다면 ㄷㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75159,ㅋㅋㅋ갑옷을 짊어지고사는 모든 남자들을 위하여,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75160,정말 정말 감명 깊은 만화다 고마워 ㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75161,httpsyoutubeNY3iWMyp8y8httpsyoutubeZzqTx0SjEohttpsyoutubeRRgcyYHsJZkhttpsyoutubeagaiNUA1KT4httpsyoutubeLw6IHwXkgkk,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75162,죽은 사람 아이디 도용이냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75163,감정적으로보면개썅년 쳐죽일년인데이성적으로보면사진찍은 각도로보나 글싸질러 놓은걸로보나전부 철저하게 계산된거일탠데개돼지들 다루는 솜씨하나는일품이야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75164,저 좁은 공간에서 저런 뷰가 어떻게 나오지사진 찍은사람 개고생 했겠다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75165,쓴돈 벹어 내고 이야기해라 씨발년아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75166,앵벌이 시간이노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75167,일단 따묵고 애기해,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75168,본인도 33살에 9살연하 졸업반 대학생 만났다그때 만난 여자가 지금 내 와이프 됨내 와이프는 얼굴은 귀엽고 이쁜데 4번 조건이랑 반대 ㅜㅜ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75169,귀신이 없다는게 저걸 보면 증명이 되지귀신이 존재 한다면 윤미향이 저렇게 못 나댐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75170,저딴거에 감동받는 개돼지ㅂㅅ들,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75171,전형적인 사기꾼 행태 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75172,이 년하고 손햬원 틀딱년은 언제 빵에 가냐 뒤지기 전에 빨리 보내자 이기이기 ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75173,미친년이네 ㅋㅋ저 사람들한테 고발 당하고저 사람들이 지 때문에 고통 받았다는데저 사람들 생각은 1 도 안하고혼자 자위하고 있네 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75174,회계문제나 빨리 해결하시죠,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75175,저런걸 하나 처단 못하는 병신 국가,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75177,미쳤네 진짜,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75178,그냥 인강의 탈를 쓴 버러지라고 보면 되겠다 이기,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75179,지긋지긋하다 활동가들,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75181,누가 연출해 찍어준거야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75182,아직도 저 컨셉 잡는게 대단하네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75183,프로필 사진 봐라 소름,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75184,얘 재판 어떻게 됐냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75185,개돼지들이 시간이 지나면 다 잊어버리니 저렇게 버티는거다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75186,우파들은 집요하게 물고늘어지는걸 못함좌빨들은 그걸 알지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75187,하 진짜 문재인 라인들 씨발 년놈들은 왤케 다 경악스럽고 좆같냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75188,저걸 진심이라 믿는 사람이 있을 거라고 저러냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75189,이젠 돈챙길수 없어서 쑈하네 정말 징그럽다시민단체의 팩트,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75190,이제는 무섭다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75191,미친 시발련,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75192,이 정권에 완장찬 것글 다 무섭다 ㄹㅇ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75193,양심에 안부끄럽나,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75194,윤미향 왜 구속 안하냐할머니들 팔아서 후원금 사적 유용한 혐의 입증 됐는데윤 의원은 개인계좌로 모금했거나 법인계좌에 있던 1억여원을 임의로 가져다 쓴 혐의업무상 횡령도 받는다 검찰에 따르면 윤 의원은 2011년부터 올해까지 개인계좌5755만원를 이용한 모금액이나 정대협 법인계좌2098만원 마포쉼터 운영비 계좌2182만원 등에서 임의로 가져다 쓴 돈이 1억원이 넘는다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75195,조온나 멘탈이 씨팔,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75196,빨갱이들은 다 악마 다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75197,다소곳이 앉은거봐 ㅋㅋㅋ개설정샷,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75198,저런 쇼가 통한다고 생각하는 인간이나실제로 넘어가는 인간들이나,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75200,완전한 이별이래 존나 무섭네 저 악마 씨발년사진찍는사람한테 자기 슬픈척할테니까 위쪽에서 45도 각도로 눌러찍으라고 지시했을꺼 생각하니 개역겹노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
