,댓글,출처
91870,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ98년도인가 20억 가지고갓으면 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그때 부동산 저새기 이민간데 집한채에 23억 햇을텐데 ㅋㅋㅋㅋ집한채사고 나머지로 건물 20억 넘는거 최소 1년 월세 3억정도 나옴 지출은 계산안함저씹새끼 개구라쟁이노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91871,응 아냐 그때 당시에 기사 다시 봐봐 개병신새꺄,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91872,뉴질 가서 더한 놈한테 싸그리 사기 당했다던데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91873,구라겟지 걍 부동산만 몇개사서 그당시 20억이면 현재로는 최소 60100억 가치임 부동산으로월세만 쳐받아도 걍 먹고사는데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91874,기사 찾아 보라우,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91875,사기꾼 말을 믿노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91876,ㅋㅋㅋㅋ이색기 애미애미 뉴잘랜드에서 한국올때 치과가서 비싼 치료 받고 외상하고 먹튀함,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91877,ㅇㅇ 소환되기 전에 쌍으로 임플란트 하고 먹튀했다함,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91878,진짜여 아녀 하는거보니 충청도게이 맞노 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91879,멍청도 텃새가 타 지역에 비해 온화한편임고향세탁이 쉬윔,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91880,여친 아직도 사귀나,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91881,감정잡고 부르는게 더 웃김 ㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91882,저게 노래라고 시발 별 좆같은 ㅎㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91884,전라도놈들 쥐뿔도 없는데 있는척하고 뭐 지가 세상사 다 이겨낸 어마어마한 사람인거 처럼 얘기하고 다니는 놈들 많음 ㅋㅋ 왜 그러는지 모르겠음 사고회로가 이상한 놈들임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91885,제천이다라도 아니다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91886,재 낚시예능 나와서 헤헤 형님형님 아주 사람좋은척 나댈때마다 고향 의심되더만 뭐ㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91887,마닷 왜 뜬 거임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91889,최강철판 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91890,진짜 웃음벨이다 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91891,씨발 좆나 역겹네 ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91892,ㅇㅂ에 기생하는 전라도 홍어새기들 지랄발광 중 ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91893,사기당한 사람들이 보면 ㄹㅇ 찢어죽이고 싶겠다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91894,유승준이 멸공의 횃불 부르는게 더 나을듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91900,라도는 아닐걸 충북에서 마을돈 다끌어다 텼다던데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91901,저짓하는것들 본적 까보면 귀신같이 라도임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91902,미친 병신 사기꾼새끼 ㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91903,소설 잘쓰네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91904,저 노래 제목뭐임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91905,니애미는 짜장면이 싫다고 하셨어,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91906,전후사정 알고나니 민망하네 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91908,진짜 개역겹네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
