,댓글,출처
58051,볼만 그었으면 그래도 쏘면 무죄야,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58052,흉기 보이면 쏴도 됨,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58053,과잉대응이란 소리는 안 나올까 볼 그은 걸로 바로 가슴에 총을 너댓 발 쏴버리면 좀 그렇잖아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58054,경호원은 경찰이 아님,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58056,저쪽 정보라인에 암살이나 뭐 그런 소스를 포착했겠지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58057,내가 경호원이었으면 절호의 챤스이자 기회인데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58058,왜 이 나라에는 각시탈이 없을까,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58059,자기네 식구들로 꾸렸으니까,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58060,지은 죄가 많아서 찔린다능,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58061,수천번을 강조해도 부족하지 않은 말대한민국의 안정과 세계의 평화를 위하여 지나바퀴벌레홍어는 몰살이 답이다치매 재앙의 하루 일과와 한번도 경험해보지 못한 나라에 대한 민심httpswwwilbecomview11299554791,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58062,저짤 원래 뭐임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58063,고사포 처형,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58064,홍어혈통 정은이새끼 등장하고 주변 인물들 처형하던 짤에 누군가 치매 재앙이놈으로 합성해논 짤이다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58065,내년쯤 되면 기관총든 군인들이 호위할거같네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58066,대통령 경호원이 총가지고있는것이 당연하다 생각드는데 지금까지 그래온거 아님,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58067,굳이 국회들어거는데 총가진 경호원 8명 대동할필요거있냔말이지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58068,내가 알기로는 국회에는 경호원들도 못들어간다 하는데이새끼는 총까지 들고감 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58069,소총도 아닌데뭘 ㅋ 머구 갈때는 소총도 들고 갔는데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58070,권총이 문씹새 경호라도 당연하게 필요하지 어떤 위급 상황이 발생할지 모르는데 갑자기 소형기관총으로 무장한 소대 단위의 북괴 특수부대가 국회 점령하면 테이저건하고 삼단봉 들고 싸울래,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58071,이건 좌고 우를 떠나서 경호원이면 권총은 소지해야된다 봄국개의원 븅신들,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58072,문재인 탄핵하자,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58073,언제 살해 당해도 이상하지 않자나정상,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58074,자신도 죽을 짓 하고 있는거 알고 있노 ㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58075,이거볼때마다 빨갱이는 반드시이렇게죽여야한다는 생각뿐이다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58076,저 문재앙 합성짤 말고 원본짤은 실화임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58078,지도 지 잘못 아니까 후달리나보네지금 뭐 또 큰건 하나 진행중인가,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58079,이거하나 사서 문재앙 쏘고싶다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58080,북쪽에 사는 정은이가 잘 처리 하자노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58081,그 돼지 새끼도 쏴 죽여야지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58083,도둑이 제 발 저린격인데뭐 못된 짓 한 모양이다 의심되네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58084,우리 재인이 갱스타노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58085,필요하니까 경호실에서 가지고 다니겠지박근혜 이명박 때도 그랬다는거 밝혀지면이런 트집은 웃기는게 된다고 먼저 그것부터 확인하고 올려라 이런 글은,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58086,저새키는 언제 어디서든 순식간에 훅 당하고도 남을놈인데본인도 그걸 아는거짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58087,대구 재래시장 기관총 경호,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58089,대구 갔을 때 기관총 들고 가서 권총으로 수위를 낮쳤노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58090,지 죽을목숨인거 아니까 그런거지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58091,우파 당선되면 기관총 들고 10명 국회의장 옆에 섰으면 좋겠다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58092,지도 뿌린 업보가 존나게 많은걸 아는거지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58093,중국이 언제든지 죽일 수 있는 파리목숨이 문재인 아닌가,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58094,않이 씨부레 총기 합법화 나라도아닌데 어디 기나갈때마다 기관총에 권총에 별지랄다하노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58096,쟨 지금이 문제가 아니라 퇴임후가 더문제 정권누가되던 ㅋㅋㅋㅋ 가만보면 졸라게 쫄보임 여자보다 못한넘임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58097,뒤질짓을 한건 알긴 아나보지ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58098,지들이 기습 존나 때렸기때문에ㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58099,죽을까 겁나누 왜 이래 방어기제가 심해,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58100,진짜 문재인은 저 죄 어떻게 다 감당할려고 나라를 이모양 이꼴로 만들었냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58101,경호원 총 맞고 뒤질각이네 문재앙,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58102,노무현 박원순 저세상 보낸놈이 문재앙도 노리고있지 않을까,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58103,불안할꺼다 개쓰레기 불법 가짜 대통령새끼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58104,저건 어쩔수없다고 봐야하는거아니냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58105,내닉이 그걸 증명한다 문재인 죽인다는 사람들 많음,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58106,시정잡배 연설이라 그런 것,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58107,바주카포도 필요하지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58108,이게흐름이라면또 하나의 대안은 있겠지살아남아라 일단,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58109,지금 상가공실률 장난 아니다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58110,어 그권 코로나 바이러슈 때문에 그렇거 아니겠슙니꽈아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58111,짤 존나 병신같네 니애미니,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58113,슬슬 그분들이몰려와서 짱꺠로만들때가됫는데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58114,코로나 때문인데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58115,코로나 때문이라고 트럼프까는건 되고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58116,자영업은 진짜 운지 해버림 피제리아 망한거보면 존나 큰거맞음,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
