,댓글,출처
57965,중국에 나라팔아먹은 매국노들땜에 이것밖에 답이없음 우리도,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57966,영어 존나못하네 당신의 미래는 내가 매일 싸우는 이유입니다 지 ㅉ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57967,머 ㅅㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57968,이유는 무슨 이유ㅋ 지도 못하네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57970,럼프형님은 SNS도 좆간지노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57971,우파들한테 인데 한국 우파에 희망이 없어서 중도로 넘어갔다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57972,난 직종이 2차전지라 바이든이 이겼음 좋겠당,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57973,빅토리 틀딱,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57974,말도잘해요 틀딱프 춬 해,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57975,당신의 미래는 내가 매일 싸우는 것입니다가 도대체 무슨말이냐알아듣게 설명좀,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57976,아무래도 영한 번역을 그대오하면 좀 이상해지기도하니까 뉘앙스상 좀 손을 본다면당신의 내일은 저의 투쟁을 통해 만들어가겠습니다정도로 이해하면 될것 같은데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57977,당신의 미래를 위해 내가 매일 싸워나가겠다 뭐 이런식으로 해석가능할듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57978,역시 일베는 모든걸 알고있노 ㅋㅋㅋㅋㅋㅋ트럼프 재선도 더맞췃노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57979,치금 ytn은 바이든 당선 기정사실로 보도하는데ㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57980,딴건 몰라도 진짜 마지막 문장은 가슴을 후빈다Your future is what Im fighting for every single day 키야이 명문을 당신의 미래는 내가 매일 싸우는 것입니다 라고 직역하면 너무 밋밋하다좀 의역을 해야 그 감동이 전달될텐데당신의 미래를 지키기 나는 매일 투쟁하겠습니다 라거나내가 싸워 이긴 그것이 당신의 미래가 됩니다 라던지 어렵긴 하다 ㅋㅋㅋ어쨋거나 그 의미는난 당신을 위해 중국 러시아 멕시코이민 마약 범죄 PC 아동성범죄 일루미나티 등등과 싸워 이겨냄으로 당신들의 미래를 보장하여 보답하겠습니다 뭐 이런 아 ㅅㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57981,영한번역을 가능한 양념없이하면서도 최대한 우리식으로매끄럽게 이해되도록 하는건 보통일이 아니지공문서등에서 니가한것처럼 번역하면 다소간 무리가있을지는 모르지만 뜻은 너가말한게 맞을듯,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57982,우린 왜 저런사람이 없냐 ㅠㅠ하긴 제정신인 사람이면 진작 이민갔지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57983,있었는데 등에 칼꽂 것을 조롱하는게 국민들이었지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57984,머리숱 많은데모방하려면 왜 안 밀음,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57985,생긴걸 모방한다는게 아니라 정책을 모방한다는거지이 무식한 놈아중학교는 나왔냐나왔으면 그학교는 똥통학교라는 증명기본도 안가르치니,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57986,훠훠훠 총기가 먼줘돠,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57987,빨렙되면 공산당에서 얼마주나요 혹시,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57988,민간인은 한명도 안죽은걸로 아는데 반란군이었지 애초에 사람도 아니고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57989,518 광주 개폭동때 자유 대한민국을 지키기위해 폭도들과 싸우시다 희생하신 국군장병 여러분들을 진심으로 고개숙여 추모합니다 그대들의 희생이 오늘날의자유대한민국을 만들었습니다저희들이 그대들의 얼을 이어받아 살아가면서 518과 연괸된 폭도들의 후손들을 보면 그대들 처럼 인정사정 없이 척결 하겠습니다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57990,위에 댓글이 식제되어 뭔밀을 햇는진 몰겟는데 너의 대뎃글에서저 밑 깊숙한 너의 사타구니 모듬정액에서 부터 뿜어나오는 깊은 빡침이 느껴지네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57992,국민한테 맞아 죽을까봐 대구 서문시장 반문했을때 기관총 꺼내놓고 경호했잖아 인간 쓰레기 말종 새끼 ㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57993,박근혜는 감옥에서 복장터질듯ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57994,ㅋㅋ 들어서 자살할라는 일게이 글쓰면 댓글로 죽기전에 문재인죽이고 죽으라고하는새끼들이 경호원이 권총갖고있는게 뭐가 대박이냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57995,겁은 존나 많아요,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57996,ㅋㅋㅋㅋ 쫄보새끼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57998,쩔었네 ㅋㅋㅋㅋㅋㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
57999,씹정희 새낀 탱크몰고 청와대 입성한 새낀데 경호원들 총찬걸 예민하게 받아들이네틀딱들은 ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58000,하프홍어 ㄷㄷ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58001,이새끼 애미년을 탱크궤도에 갈아죽였어야 이런 씹홍어새끼가 안태어났지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58002,지은죄가 졸라 많아 처 죽기 싫은가보구만,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58003,쟤 중국이나 북한한테 무슨 협박 받냐 대통령 끝나면 왠지 죽을거 같은데,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58004,ㄹㅇ 중국이나 정은이한테 위협받고잇는거아니노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58005,대구 서문시장 가서는 소총 경호ㄷㄷㄷ 이건 약과다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58007,권총8개면 딴건 더 많다는건가,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58008,httpwwwnewdailycokrsitedatahtml202001072020010700252html 경북 지키던 패트리어트 빼서 청와대 뒷산에 배치했다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58009,조까튼 간첩새끼 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58010,권력은 총구에서 나온다 마오쩌둥,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58011,위협도 안했고 안쐈는데 왜 호들갑 경호가 경호한것 아니닉,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58012,소지하고 있던건 뭐라고 할건 아니지전에 시장바닥에서 기관총 내보인거 그런거랑 다르잖아경호하는 새끼들이 그럼 뭐 물총 가지고 경호해야 함,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58013,국회연설하는데온갖 잡놈들 까지 다 기어들어오냐오는놈들은 한정정해져있는데총을 들고가는거면그건 이상한 일 아닐까역대 대통령이 다 그러했다면당연한거겠지만 그것도 어니라면국회의원을 수상한 사람들로 인삭하고 다닌다는건데엄청 이상한거지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58014,홍어 산란기 왔노,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58015,이번 시간대에 모조리 뒈질 종자들 운명들을 알아보자 ㅋㅋ중공멸망 과 친중파들만 있는 개좆들더민당미통당 괴멸 예언들 과 문재앙 출현을 예언1 화충의 본래의미 와 뜻httpsgalldcinsidecomboardviewidstocknew2no6789883 본토 짱꼴라 한족짱꼴라 앞잽이 조선족기타 한국에 있는 전라도 진짜토착왜구들 멸망 예언중공본토와 한반도 기식하고 있는 짱꼴라 혈통들이 모두 세계연합국에 의해 초토화 된다는 예언2 장자석을 아는가httpsgalldcinsidecomboardviewidstocknew2no6789895 본토 짱꼴라 랩틸리언 혼혈족들의 최후하늘이 천명한 중공 멸망예언3 송구 영신가 뜻이당 저당 다 버려야 산다 feat 개진핑httpswwwilbecomview11294438497 중공당교 우마오당 짱꼴라들에게 돈과 권력을 받고 나라를 팔아먹는 매국노짓을 골라서 하는 현존하는더민당 국민의당 의 괴멸과 단 한마리도 살아남지 못하는 예언4문재앙 등장을 예견하고 문재앙 정체를 알린 동학가사해 동 가를 알아보자httpswwwilbecomview11298112005 문재앙이 518 추종세력들과 세월호인신공양 를 바친 댓가로 집권한다는 예언,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58016,4문재앙 등장을 예견하고 문재앙 정체를 알린 동학가사해 동 가를 알아보자httpswwwilbecomview11298112005 문재앙이 518 추종세력들과 세월호인신공양 를 바친 댓가로 집권한다는 예언문재인이 대통령으로 등장하게 된 결정적 배경에는 여러가지 있겠으나 세월호 의 효과가 거의 결정적 이었다 이 세월호에 대한 자세한 내용은 인터넷에 기록된 것이 있으니 그걸 참고 할 것이다 그러나 그 내용들 중에선 일반인들이 아직 제대로 알지 못하는 내용들이 많다 또 일부 거론 된 부분이 있지만 이제 원하는 바를 얻었기에 저 악종 무리들은 방치 하고 있는 중에 있다어느 잡놈이백제망국망혼 떨거지 이자 한반도 왜족 출신이고 증산 제자중에 하나인 나중에 증산을 배반해서 벼락을 쳐받아 뒈졌던 한 놈팽이가 또다시 이땅에 기 나와서 호기롭게 얘기한 것이 바로 저 세월호 등장이 남조선 뱃질 이라 한다 ㅋㅋ 얼마나 우습던지 ㅋㅋ 아무튼 저런 놈도 있다그러나 저 세월호 실상을 알고보면 끔찍한 귀천의 현실 도래을 의미 한다 비록 일시적이고 한시적에 불과 한 것이지만 우매하고 이용 당하기 쉬운 서쪽북쪽 사람들을 집단적으로 이끌어서 벼랑으로 떨어지게 할 악귀무리들이 전면에 등장하게 할 원인이 되었다 음모론자들이 말하는 바의 세월호 인신공양 이란 말에 깜짝 놀란 적이 있다 이 말보다 더한 실제적 의미를 적시 한게 있을까 했다 그 뜻 그대로 애꿎은 생사람을 죽여서 그 공양으로 저 문재인이 대통으로 등장 하게 되었다는 뜻이다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58017,"해동가상략
스승 교훈 때 모르고 시행할줄 전혀 없고 이제까지 오다가서 이치이자 못 깨닫고중로로서 생각하다 금치 못할 만단의아 배회로상 생각하니길은 점점 멀어지고 집은 종종 생각나서 정녕이 알자하면 이 걸음을가지만은 어떨런고 어떨런고 한창 의아 둘 즈음에 문장군이 통기하니httpsncacheilbecomfilesattachnew20201028377678112521873251129811200522567508d126907ae5b029dcf89b096211298113688png 모기 문1 모기모기 문으로 굳이 표기한 이유가 뭘까 모기는 그야말로 기생충으로 흡혈충이다 즉 남의 피를 빨아먹고 생명을 유지하는 해충에 속한다 문재앙을 이런 모기 문으로 표기하는 이유와 또대장이란걸로 표현 하는 것을 봐서 기생충들의 우두머리 해충임을 은연중에 밝고 있는 것이다 또 그다음으로 통기하다라는 뜻은 이상한것에 통했다는 뜻이다기특할의지할1 기특하다2 기이하다3 괴상하다4 새롭다5 불우하다6 운수가사납다7 기만하다8 때를 못 만나다저사람 거동보소 영험되고 좋은 말은 귀 밖으로 다 버리고 불미지사 달게 듣고대깨문들 종특을 그대로 설명하고 있다 즉 진실과 사실을 귀담아 듣지 않고 저들만의 세계관으로 똘똘 뭉쳐 주위사람들의 충고나 의견들은 무시한다는 뜻이문장군의 동류되니 그 아니 가련한가",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58018,"문장군의 동류되니 그 아니 가련한가그런 대깨문들이 주위 사람들 말을 듣지 않고 문재앙이 지시 하는데로 모두 따라서 이나라를 망치는 데 앞장을 서는 무리가 된다는 뜻이다 이들이 누구대깨문을 비롯한 이땅에 기 들어온 조선족 짱꼴라들과 가짜유학생 중공간첩 한족중공본토 중공당교와 우마오당 개좆 그리고 이런데에 빼놓지 않고 참여하는 전라도 진짜 토착왜구 종자들 이들이 모두 저 죽을짓을 모르고 하고 있으니 애초롭고 어찌 가련하지 않을수 있겠는가 하는것이다세상사가 이러하니 그 사람의 운수련만 우선에 보는 도리금하자 하니 난감이요 보자 하니 애달해서 해동가를 전해 주니 많고 많은 저 도유들 서로서로 깨달아서 해동가를 웃지 말고 흠재훈사 하였어라이런 자들에게 세상 운수의 흐름과 진실된 모습을 말해줘도 소용이 없다는 것이고 저들이 스스로 자신들 운명에 따라서 자기길을 가고자 하니 어쩔수 없다는 것이고 나머지 선량한 한민족은 모두 해동가가 가르치는 대로 행동을 해야 한다는 것임 중략
그 또한 그러하나 많고 많은 제군자는 차서없는 이내 노래 또 한 곡조 들어보소 가련타 세상사람 소탐대실저 웬일인고 그 이치 괴이하고 하다 남의허물 지어내어 험담으로 일을 삼는 저 사람들 어찌 그리 애달한고 저의허물 고치지 않고 남의 험담 무슨 일고 그도 또한 괴이하고 남을 음해 하는 사람 그 또한 어찌하여 그러한고 허허 세상 우습도다 남을 음해 하자하면 저인들 앙화 없을 손가 저도 또한 앙화있어 자연사지 들어가니 애달할세 너희로다 인심풍속 괴이하야 서로서로 음해하니 인물상해 가외로다",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58019,어화세상 사람들아 인심풍속 이러하니 사람마다 깨달아서 남을 원망 하지 말고 내맘부터 닦았어라 내 맘부터 닦지 않고 장구이 원망타가 말래에 사사한맘 헛된 욕심 못 이기어 근본없는혐의지심 무단이 사서나서 남을 음해 하려하니그런 천리 어디 있나문재앙을 추종하는 대깨문들이 문재앙이 지시 하는데로 소탐대실 즉 중공 당교 우마오당 개진핑의 뜻대로 따른다는 뜻이다 즉 권력과 돈을주니 그걸 받아먹고 나라를 망치고 중공 짱꼴라들을 불러 들이고 있는 소탐대실 의 어리섞은 짓을 골라서 하고 이를 지적하면 그런 사람들을 음해 하고 원망 하고상해 하고 인심풍속을 저들 맘대로 해서 우리네 좋은 미풍양식을 어지럽고 있다는 뜻임그런 사람들이 어찌 잘 될까 저들 스스로 저지런 행악으로 결국 앙화를 불러 들이고 저들도 그 앙화를 받아 멸망 당하고 만다는 뜻이다천리이치 모르고서 개과천선 못 하오면 그 앙화가 제 몸으로 돌아와서함지사지 되느니라 해몽못한 이것들아 남과 혐의 짓지 말고 함지사지 구하지마라 너의 신수 생각거든 나의교훈 한말을 부디부디 깨달아서 일심으로 사천하고 지성으로 수도하되 스승 교훈 거울하고 궁을기리 깨닫거든 서해광덕 청룡사를 찾아가서 월경대사 만나거든 월경대사 지휘따라 성심대로 천궁시주 많이 하면 소원성취 할 테오니 많고 많은 저 사람들 부디부디 찾아보소결국 저런 문재앙을 추종하는 대깨문들은 개과천선을 하지 않으면 그 모든 죄를 자신이 모두 받아야 하는 벌을 받게 되니 이뜻을 간과 하고 무시하지 말고 부디 부디 스스로 행동가짐을 되 살피고 자신의 행동을 돌이켜 살펴서 죄를 짓지 말아야 한다는 뜻이다 하략,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58020,"이런 동학가사들이 무려 380 여개가 1930년대에 한꺼번에 출현하여 현재에 당면하고 있는 세상에 대해 우리 서민들에게 알려주고 있으니어리섞은 국민들의 사표가 되고 있으니 부디부디 동학가사의 뜻대로 따라 주기 학수고대 마지 않는다끝으로 현재 문재앙의 추종하는 세력들이 누구인지 다음을 살펴보자조선족들이 물고빨고 있는게 바로 문재앙이지 문재앙을 자신들 동포로 여기고 있지 그런데 한국인들은 지금에 와서야 문재앙이 너무도 이상해서 의심을 하고 있다가 서서 아래 기사 처럼 바로 문재앙이 조선족 혈통이란 걸 알아가고 있지중공에서 문재앙을 어떻게 보고 있는지 실제 문재앙 가계는 조선족들 가계였다 해방후 북한으로 건너 온거임 이래도 한국인이냐 내가 하도 저 문재앙 새끼가 한페스카마 호 좆족 살인난동 에 변론 했던것 현재 한국 대통령으로서 도저 상식선에서 이해가 안되던것이 저걸 보니 딱 바로 알아지더군 저새끼는 진짜 조선족이고 개진핑이와 전혀 다르지 않는 짱꼴라 이란것
문재앙은 조선족으로 중공에 표기httpsnewsjoinscomarticle23213170",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58021,야수의 심정으로 적폐의 심장을,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58022,외신에 떠야 하는데트럼프가 의회 들어갈때 권총 경호 대동했으면 난리났겠지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58023,저번에 구두 엿나 누군가 던져서 물론 문재인 바로 앞에 떨어진건 아니지만 아무튼 이후로 신발 던지는 새끼 바로 권총으로 벌집 만들려고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58026,지가 한짓을 생각하니까 지가 생각해도 모가지 따일지 모른다고 생각했겠지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58027,나라 개씹창내서 암살 당할수 있다는 생각을 스스로 하는것임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58028,도둑이 제발저리지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58029,이제 총맞을까봐 무서운거지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58030,신발 던질까 걱정되쟎아 신발폭탄일 수도 있고,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58031,쪼는거 보소,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58032,앞으로우리가인용해야하는문구를말해주겠다명심하고대대손손기억토록하여라문재인정권에서 배웠어요 죄송해요,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58034,겁이 많네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58035,대구새끼들 언제 폭동일으킬지모르니 어쩔수없으셨겠지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58036,전라도에서도 기관총 경호원새끼 나타남ㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58037,아니 저게 정상이지 그럼 뭐 vvvip 경호하는데 삼단봉들고 경호하리,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58038,국회에서국회에 총들고가도되냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58039,국회도 청와대하고 동급으로 가급 보안시설이라 전혀 저럴필요 없는 데특 본회의장이면 더 철통보안이지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58040,국회랑 청와대란 헷갈리는 애들이 많은데 국회는 청와대랑 달리 국회의원들 나와바리야 병신아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58041,그래서 어쩌라고 경호에 나와바리 뭐시고가 있냐쟤들도 규정대로 하는건데 ㅉㅉ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58042,맞은놈은 두다리 뻣고 자도때린놈은 불안에 떨며 잔다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58043,국민들한테 미움받는걸 아는거지 빨갱이 고정간첩새끼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58044,당연하지 적국안에서 하는데 어휴 바봉,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58045,경호원이 총도 안가지고다니나,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58046,칼빵 기억 안나냐 박근혜 주미 대사관조심할만 하지,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58047,뒤질까봐 존나 사리네 개좆밥씹새끼,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58048,십새끼 좆나게 나쁜짓 하고 있는 건 아네 개새끼가 ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
58049,박근혜처럼 누가 칼 들고 덤비면 걔 경호원이 쏴 죽여도 무죄임,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
