,댓글,출처
40080,아이고 참말로 ㅡㅡ,./data\인사이트.csv
40081,ㅈ랄도 가지가지다,./data\인사이트.csv
40083,강제노역을 시켜도 모자른데 뭔소리,./data\인사이트.csv
40084,먹지마라 ㅋ,./data\인사이트.csv
40085,아니 무슨 국세로 월듭받는 공무원인줄 아나,./data\인사이트.csv
40086,지랄이네 진짜,./data\인사이트.csv
40087,수당 올려주고 식대 생활비 자비부담시킵시다 평생 감옥에서 못나올듯,./data\인사이트.csv
40088,5만원 준다는거부터가 일단소름,./data\인사이트.csv
40089,죄수가 왜 돈 받음,./data\인사이트.csv
40090,죄를 짓지 마세요,./data\인사이트.csv
40091,염병 똥싸고 자빠졌네,./data\인사이트.csv
40092,저런 인간들 챙겨줄거 아껴서 군인애들 챙겨줘라,./data\인사이트.csv
40093,5만원씩이나 주고있었네,./data\인사이트.csv
40094,범죄밖에 더 하겠냐니 그럼 더 거기 안에서 살으셔야지 죄를 뉘우칠 생각을 안하면 죄를 뉘우칠 수 있을 때까지 안에 쳐박혀야 하는겨,./data\인사이트.csv
40095,지랄났네 진짜,./data\인사이트.csv
40096,시벌우리 세금으로 주는거잖아진짜개빡치네,./data\인사이트.csv
40099,밥도 주지마라 시밤,./data\인사이트.csv
40100,그것도 싫으면 세금으로 밥쳐먹이지말고 굶겨라ㅡㅡ,./data\인사이트.csv
40101,알바하러간거야 벌받으러간거야,./data\인사이트.csv
40102,이야팔자 좋은 소리하고 앉았다 그쟈오만원 주는 것도 이제 알았네,./data\인사이트.csv
40103,웃기고 자빠졌네,./data\인사이트.csv
40104,군인들도 최저시급이 안되는데,./data\인사이트.csv
40105,"혀를 잘라버리거나 사지를 짤라버려야지
아주 편하지 진짜",./data\인사이트.csv
40106,미국에는 죄수들 발에 쇠고랑 채워서 외부노역 시키던데 기술습득 뭐 그런거 말고 그냥 강제노역 시키면 좋을듯,./data\인사이트.csv
40107,이거봐봐 남의 인권 해치고 교도소 갔으면서 자기 인권은 챙겨주길 바라나봐 너무 노양심인것 왜 자기들 자립 밑거림을 우리가 해주지 돈없이 나가서 범죄밖에 더 하겠냐 이사람은 내보내면 안되는거 아냐 반성을 전혀 안했는데,./data\인사이트.csv
40108,ㅋㅋㅋ댓글 내맘,./data\인사이트.csv
40110,지랄한다 범죄 저질러서 들어갔지 니네가 돈벌러갔냐,./data\인사이트.csv
40111,세금 낭비들,./data\인사이트.csv
40112,그거 알지 초범으론 웬만하면 빵 안들어가는거 특 10년이상의 중형은 대부분 살인혐의야,./data\인사이트.csv
